title,price,location,full_address,bedrooms,bathrooms,property_type,project_name,offer_type,construction_year,parking_spaces,ownership_type,floor_area,floor,condition,project_link,publish_date,publish_by,latitude,longitude
"For Sale 2 Bedroom Unit in One Balete, Skyline Tower","₱ 17,500,000","Cubao, Quezon City","Skyline Premiere at One Balete, Cubao, Quezon City, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Skyline Premiere at One Balete,For Sale,,1,,86 sqm,,,https://www.lamudi.com.ph/projects/skyline-premiere-at-one-balete/,3 hours ago,My Hometown Realty & Developer Inc. (FT),14.6153897,121.0399083
"For Sale 2 Bedroom Unit in One Balete, Skyline Tower","₱ 16,000,000","Cubao, Quezon City","Skyline Premiere at One Balete, Cubao, Quezon City, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Skyline Premiere at One Balete,For Sale,,1,,77 sqm,,,https://www.lamudi.com.ph/projects/skyline-premiere-at-one-balete/,4 hours ago,My Hometown Realty & Developer Inc. (FT),14.6153897,121.0399083
Executive 2-Bedroom with Parking in Magnolia Residences,"₱ 17,000,000","Horseshoe, Quezon City","The Magnolia residences – Tower A, B, and C, Horseshoe, Quezon City, Metro Manila, Philippines",2 bedrooms,,Condo,"The Magnolia residences – Tower A, B, and C",For Sale,,1,,79 sqm,,,https://www.lamudi.com.ph/projects/41032-73-b18a049a58c4-22f8-1462a2dc-b8d3-4e45,4 hours ago,My Hometown Realty & Developer Inc. (FT),14.6138356,121.0384865
𝟏𝐁𝐑 𝐂𝐨𝐧𝐝𝐨 𝐔𝐧𝐢𝐭 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐚𝐭 𝐓𝐡𝐞 𝐕𝐚𝐧𝐭𝐚𝐠𝐞 𝐢𝐧 𝐏𝐚𝐬𝐢𝐠 𝐂𝐢𝐭𝐲,"₱ 12,500,000","Capitol Subdivision, Pasig","The Vantage at Kapitolyo, Capitol Subdivision, Pasig, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Vantage at Kapitolyo,For Sale,,,,40 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/the-vantage-at-kapitolyo/,4 hours ago,Jared Dimangondayao,14.5729019,121.0599034
1 Bedroom For Sale in Victoria de Morato,"₱ 3,800,000","Ramon Magsaysay, Quezon City","Victoria de Morato, Ramon Magsaysay, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Victoria de Morato,For Sale,,,Freehold,22 sqm,,,https://www.lamudi.com.ph/projects/victoria-de-morato/,5 hours ago,My Hometown Realty & Developer Inc. (FT),14.6364954,121.0364155
"Studio Unit For Sale in Victoria Sports Tower, Quezon City","₱ 1,900,000","Diliman, Quezon City","Victoria Sports Tower, Diliman, Quezon City, Metro Manila, Philippines",,,Condo,Victoria Sports Tower,For Sale,,,,32 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/victoria-sports-tower/,5 hours ago,My Hometown Realty & Developer Inc. (FT),14.636086,121.04254
1 Bedroom Condo in Pasay Ready for Occupancy Mall of Asia For Rent,"₱ 5,500,000","San Isidro, Pasay","Quantum Residences, San Isidro, Pasay, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Quantum Residences,For Sale,,,Freehold,1 sqm,12,Unfurnished,https://www.lamudi.com.ph/projects/quantum-residences/,6 hours ago,Property by Jeann & Ruffa,14.5527891,120.9980211
1 Bedroom Condo in Pasay Ready for Occupancy Mall of Asia For Rent,"₱ 33,000","San Isidro, Pasay","Quantum Residences, San Isidro, Pasay, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Quantum Residences,For Sale,,,Freehold,1 sqm,12,Unfurnished,https://www.lamudi.com.ph/projects/quantum-residences/,6 hours ago,Property by Jeann & Ruffa,14.5527891,120.9980211
1 Bedroom Unit For Sale in The Steps (Sta. Mesa Heights),"₱ 3,624,000","Matalahib, Quezon City","The Steps - Quezon City, Matalahib, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Steps - Quezon City,For Sale,,,Freehold,48 sqm,,,https://www.lamudi.com.ph/projects/the-steps-quezon-city/,7 hours ago,My Hometown Realty & Developer Inc. (FT),14.6323888,121.0060929
Makati Condo 1Br 26sqm Rfo Rent to Own San Lorenzo Place in Makati Edsa Ayala Bgc Taguig Mckindley Pasig Mrt Lrt,"₱ 2,001,110","Bangkal, Makati","San Lorenzo Place, Bangkal, Makati, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,San Lorenzo Place,For Sale,,,,4 sqm,16,Unfurnished,https://www.lamudi.com.ph/projects/san-lorenzo-place/,7 hours ago,Jerald Yucot,14.5423811,121.0182744
