title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
BELLAGIO LOFT (BGC) 1 Bedroom with Golf Course Views,"BELLAGIO

(Burgos Circle / BGC)




* 1 Bedroom LOFT

* Area: 56.8 SQM

* with 2 bathrooms

 

* Low-Floor

* Relaxing Golf Course Views (Unobstructed)

* Unfurnished




* Asking Price : Php 13.0 Million Gross




* View to Appreciate! Please call or message for inquiries or photos/details.




(Direct Buyers only, thank you!)",The Bellagio,The Bellagio,,56 sqm,"₱ 13,000,000","Fort Bonifacio, Taguig",1 bedroom,1 bathroom,,,Loft,For Sale,,,,https://www.lamudi.com.ph/projects/the-bellagio/,Valerie Mae San Antonio
ICON RESIDENCES (BGC) 2 Bedroom with Golf Course Views and 1 Parking,"ICON RESIDENCES TOWER 2

(Burgos Circle / BGC / Quiet area of BGC)




* 2 Bedroom with 1 Parking

* Area: 95.0 SQM

* with maid’s room with own T&B

 

* Mid-Floor

* Corner Unit

* Relaxing Golf Course Views

* Fully furnished and renovated




* Asking Price : Php 24.5 Million Gross

* Clean Title




* View to appreciate! Please call or message for inquiries or photos/details.




(Open for brokers and agents, let's work together! Direct to Seller. )",The Icon Residences,The Icon Residences,,95 sqm,"₱ 24,500,000","Fort Bonifacio, Taguig",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-icon-residences/,Valerie Mae San Antonio
1 bedroom unit for sale in Trion tower 3 trion towers bgc near sm aura,"1 bedroom 

12M with parking 

16th floor 

Fully furnished  

Pets allowed building

location: 8th Ave, cor McKinley Pkwy, Taguig City

JHR_TG15",The Trion Towers,The Trion Towers,,30 sqm,"₱ 12,000,000","McKinley Hill, Taguig",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-trion-towers-1/,JGAP HOMES REALTY
"2-Bedroom 2BR Condo for Sale in Acacia Estates, Taguig City at Royal Palm Residences",,Royal Palm Residences,Royal Palm Residences,,51 sqm,"₱ 7,300,000","Taguig, Metro Manila",2 bedrooms,1 bathroom,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/royal-palm-residences/,Yvette De Asis
"RUSH SALE! East Gallery Place BGC, Fort Bonifacio Taguig City 3 Bedroom 3BR Fully furnished Condo",,East Gallery Place,East Gallery Place,,299 sqm,"₱ 96,000,000","Fort Bonifacio, Taguig",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/east-gallery-place/,Yvette De Asis
KSB : EAST GALLERY PLACE 4BEDROOM 244SQM 3PARKING 99M,"RUSH SALE!! EAST GALLERY PLACE:

4BR For Sale:

45th Floor

Semi-Furnished

Facing East / Antipolo mountains, Serendra

244 sqm

3 parking in B2: 2056, 2057 and 2058

Rented until Dec. 2026 at P220,000/mo.

NOW REDUCED TO P99M ONLY!

RUSH!!! THIS GREAT DEAL will be Sold Very Fast!",East Gallery Place,East Gallery Place,,244 sqm,"₱ 99,000,000","Fort Bonifacio, Taguig",4 bedrooms,4 bathrooms,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/east-gallery-place/,Asialand
KSB : ONE SERENDRA 2BEDROOM 174SQM 63MILLION,"One Serendra East Tower:

2BR For Sale:

Floor area: 174 sqm

Fully Furnished

Big balcony Facing Inner Serendra garden

Two en suite bathrooms

Powder room

Maid's room and utility room with own toilet

Plus 2 parking

63MILLION 




Clean Title

Owner-occupied

Never Tenanted",One Serendra,One Serendra,,174 sqm,"₱ 63,000,000","Fort Bonifacio, Taguig",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/one-serendra/,Asialand
"1 Bedroom Unit  For Sale at Two Serendra, BGC, Taguig","Rea Oak Tower




Floor area: 56 square meters

1 Bedroom

1 Bathroom

Balcony facing the pool

Kitchen 

Laundry room

No Parking




Asking Price: Php13,995,576 (Php250k/sqm)",Two Serendra,Two Serendra,,56 sqm,"₱ 13,995,576","Fort Bonifacio, Taguig",1 bedroom,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/two-serendra/,KRN Properties
For Sale|Panglao Oasis Aspire  Mid-Rise Condo Near Bonifacio Global City Taguig,"Panglao Oasis Aspire By Filinvest Mid-Rise Condo Near Bonifacio Global City
 Never miss the chance to vibe to your dream life in your very own modern city home.
 

 Panglao Oasis is a Taguig condo enclave where your island escape comes to life. Bask in its verdant open spaces, resort-style amenities, and smartly designed buildings and units for that healthy city lifestyle
 

 Your island escape comes to life at Panglao Oasis, a resort-inspired community nestled at the heart of Taguig City. Taking resort living a notch higher, Panglao Oasis features an authentic vacation ambience to give urbanities a welcome respite from the daily hustle and bustle of the city.
 

 Features & Amenities:
 Revitalized Living
 Six stylish mid-rise buildings amid lush greens and spacious environs offer true breathability with 70% open space.
 Resort-inspired Amenities
 Beach-edged Leisure Pool
 Lap Pool
 Kiddie Pool
 Pool Deck
 Cabanas
 Sunken Courtyard
 BBQ Pits
 Volleyball Court
 Playground
 Clubhouse
 Lounge Area
 Function Rooms
 Fitness Gym
 Music Room
 Game Room",Panglao Oasis,Panglao Oasis,,26 sqm,"₱ 4,441,935","Ususan, Taguig",1 bedroom,1 bathroom,,Unfurnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/panglao-oasis/,Gloritchs Realty
For Sale|Modern Resort Condo Living Panglao Oasis Aspire Taguig By Filinvest Sale,"Modern Resort Condo Living Panglao Oasis Aspire By Filinvest
 A fresh take on Modern Resort Living
 Your island escape comes to life at Panglao Oasis, a resort-inspired community nestled at the heart of Taguig City. Taking resort living a notch higher, Panglao Oasis features an authentic vacation ambience to give urbanities a welcome respite from the daily hustle and bustle of the city.
 

 Revitalized Living
 Six stylish mid-rise buildings amid lush greens and spacious environs offer true breathability with 70% open space.
  Resort-inspired Amenities
 Beach-edged Leisure Pool
 Lap Pool
 Kiddie Pool
 Pool Deck
 Cabanas
 Sunken Courtyard
 BBQ Pits
 Volleyball Court
 Playground
 Clubhouse
 Lounge Area
 Function Rooms
 Fitness Gym
 Music Room
 Game Room
  

 LS No. 217 (Bldg. Daloy) | Completion Date: Feb 2025 (Bldg. Daloy), May 2023 (Amenities) | Owned and developed by Filinvest Land, Inc. | Cayetano Blvd., Brgy. Ususan, Taguig City",Panglao Oasis,Panglao Oasis,,40 sqm,"₱ 6,912,503","Ususan, Taguig",2 bedrooms,1 bathroom,,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/panglao-oasis/,Gloritchs Realty
