city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
caloocan,1,3BR Condo Calinea Near SM Grand Central Monumento DMCIHOMES,"Enjoy excellent accessibility by living in THE CALINEA TOWER,

DMCI HOMES DEVELOPMENT!



The Calinea Tower, Grace Park, Caloocan City, walking Distance from Monumento LRT,

Sm Mall Grand Central.

MAY 2028 turnover date.



We are preselling a condo within walking distance of the Sm Grand

Central/Monumento LRT.



AVAILABLE UNITS as of June 12, 2025:



Studio 30 sqm 6M 12% dp in 40 mos /17k Mo.

Studio 33 sqm 6.3M 12% dp in 40 most /18k Mo.

1BR 52sqm 9.6M 12% dp in 40 mos./28k Mo.

1BR 57.5sqm 9.8M 12% dp in 40 mos /28k Mo.

2BR 52 sqm 8.5M 12% down in 40 mos / 25k Mo.

2BR 64 sqm 9.7M 12% dp in 40 mos 28k Mo.

3BR 79sqm 11.7M  12% dp in 40 mos/ 34k Mo.

3BR 97sqm 13.3M  12% dp in 40 mos/ 39k Mo.

tandem units 128 sqm 23 M. 67k Mo.



Promo terms options:

12% down payable in 40mos 88% through bank loan. Upon

Turnover date: MAY 2028.



Other options: Payment:




20% spot down 80% in 39 mos. Zero interest with a 4% discount

50% down in 40 mos, 50% in 12 mos, Zero interest.t Upon turnover in may 2028

100% cash payable in 40 months, zero interest with a Discount!





The reservation fee is 20,000

The parking slot is 10,000



Reservation for June 2025 only.



List of requirements:

2 valid ids

Proof of Billing

proof of TIN



Resort Style Living

With Complete Amenities

 24hr Security

Trusted Quadruple A Builder

 Pets are allowed

Lifetime Ownership

BIGGER unit sizes (lowest price per Sqm)

NO HIDDEN CHARGES

Flexible Payment Terms

Free Home Loan Assistance

Pre-Selling -ZERO % interest on DP

BIGGER DOWN, BIGGER DISCOUNTS

DEFERRED PAYMENT





Computation is Available Upon request!



Sample Computation Available Upon Request.



For Assistance Pls Contact

 Corz Cascayan

Accredited in-house Property

Sales Consultant

Direct DMCIHOMES

Since 2012

Accredited DHSUD NCR-A-11646

PRC License No. 005479/00787",The Calinea Tower,The Calinea Tower,79 sqm,79 sqm,"₱ 11,742,000","Grace Park East, Caloocan",3 bedrooms,2 bathrooms,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-calinea-tower/,3 Jul 2025,Corz Cascayan
caloocan,1,2BR CondoNear SM grand Central Calinea DMCI Preselling Condo,"THE CALINEA TOWER by DMCI Homes

M. H. Del Pilar St., Grace Park East, Caloocan City

Pre-selling Condo near SM Grand Central, LRT1 Monumento, Manila Central University

NO SPOT DOWNPAYMENT

2.5% UNIT DISCOUNT

12% DP INSTALLMENT @ 0% INTEREST

NO LUMP-SUM

NO HIDDEN CHARGES




Available Units:

Studio Unit: 30 sqm - 5.8M /17k Monthly

Studio 34 sqm - 6.6M / 20k Monthly

Studio 42sqm  - 7.2M / 22k Monthly

1 Bedroom Unit: 52.00sqm -  9.6M / 29k Monthly57.00sqm

2 bedroom  51 sqm / 9.1M / 27k Monthly

2 Bedroom 59 sqm - 9.4M / 29k Monthly

2 Bedroom  64sqm - 10M / 32k Monthly

3Bedroom 79 sqm  11.7 / 36k monthly

3 Bedroom End Unit:97.50sqm - 13.2M / 41K monthly




Unit Deliverables:

Kitchen Countertop & Cabinet System

Range-hood Provision

Mirror Cabinet ( Studio T&B )

Lavatory Countertop ( 1Br, 2Br & 3Br )

Split-Type AC Unit Provision

Glass Balcony Railings






Retirement Home

Passive Income ( rentals )

Larger Windows & Doors

Big Unit Cuts

Lifetime Ownership

Pet Friendly

2-Year Unit Warranty

Atrium Garden Levels

Garbage Chute System

2 Amenity Floors

Resort Style Living

Roof Deck Pool

Electrified Perimeter Fence

Transit-Oriented Development




₱20K Unit Reservation Fee

₱10K Parking Reservation Fee (optional)



DMCI Forms

2 Valid IDs

I handle all of DMCIHOMES  projects

For Sample quotation, Online presentation, Unit",The Calinea Tower,The Calinea Tower,51 sqm,51 sqm,"₱ 9,100,000","Grace Park East, Caloocan",2 bedrooms,1 bathroom,,,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-calinea-tower/,3 Jul 2025,Corz Cascayan
caloocan,1,Calinea tower 126sqm 3BR DMCI newest Preselling Walking SM Grand Central,"Enjoys excellent accessibility by living in THE CALINEA TOWER,
 DMCI HOMES DEVELOPMENT!
 

 The Calinea Tower Grace Park Caloocan City, walking Distance from Monumento LRT,
 Sm Mall Grand Central.
 

 May 2028 turnover date.
 We are preselling Condo Walking Distance from Sm grand central/Monumento LRT.
 

 AVAILABLE UNITS:
 Studio 29 sqm 5.7M/15k monthly down
 1BR 56 sqm 9.8M / 26k monthly down
 2BR 71sqm 11.2M 31k monthly down
 2BR 56sqm 9M /24k monthly down
 3BR 79sqm 11.8M /32k monthly down
 3BR 97sqm 13.2M / 36k monthly down
 3BR 93sqm 14.3m/39k monthly down
 tandem units 128 sqm 22M/57 k monthly down.
 

 Promo terms options:
 12% down with 2.5% discount payable in 49mos 88% thru bank loan Upon Turn over date May 2028.
 

 15% down with 3% discount payable in 49 most 85% thru bank loan
 

 The reservation fee is 20,000
 Parking slot is 10,000
 

 reservation for Sept 2024 only.
 

 List of requirements:
 2 valid ids
 Proof of Billing
 proof of TIN
 

 

 Resort Style Living
  with Complete Amenities
  24hr Security
  Trusted Quadruple A Builder
  Pets are allowed
  Lifetime Ownership
 BIGGER unit sizes (lowest price per Sqm)
 NO HIDDEN CHARGES
 Flexible Payment Terms
 Free home loan Assistance
 Pre Selling -ZERO % interest on DP
 BIGGER DOWN, BIGGER DISCOUNTS
 DEFFERED PAYMENT
 

 

 RESERVE A UNIT FOR ONLY P20,000
 10,000 for the parking slot.
 

 Computation is Available Upon request!
 

 

 For sample computation, site viewing, and reservation, Contact:
 Corz Cascayan
 Accredited Inhouse Property Consultant Direct DMCIHOMES
 Since 2012
 Accredited HLURB/Prc SAles Person",The Calinea Tower,The Calinea Tower,126 sqm,126 sqm,"₱ 22,000,000","Grace Park East, Caloocan",3 bedrooms,3 bathrooms,,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-calinea-tower/,3 Jul 2025,Corz Cascayan
caloocan,1,Spacious Studio Condo For Sale in Caloocan City,,The Calinea Tower,The Calinea Tower,,33 sqm,"₱ 6,346,000","Grace Park East, Caloocan",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/the-calinea-tower/,14 Jun 2025,"Michelle Madarang, REB"
caloocan,1,FOR SALE: The Calinea Tower,,The Calinea Tower,The Calinea Tower,,86 sqm,"₱ 13,025,000","Grace Park East, Caloocan",3 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-calinea-tower/,13 Jun 2025,Condominium for Sale PH by Rey Ann Roguel
caloocan,1,Studio Condo Unit in Caloocan City,,The Calinea Tower,The Calinea Tower,,33 sqm,"₱ 6,346,000","Grace Park East, Caloocan",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/the-calinea-tower/,4 Jun 2025,"Michelle Madarang, REB"
caloocan,1,Studio Condo Unit in Caloocan City,,The Calinea Tower,The Calinea Tower,,33 sqm,"₱ 6,346,000","Grace Park East, Caloocan",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/the-calinea-tower/,29 May 2025,"Michelle Madarang, REB"
caloocan,1,Elegant Studio Type Condo For Sale in Caloocan,,The Calinea Tower,The Calinea Tower,,33 sqm,"₱ 6,346,000","Grace Park East, Caloocan",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/the-calinea-tower/,20 May 2025,"Michelle Madarang, REB"
caloocan,1,PRE-SELLING Condo in Monumento,"Preselling Condo in Victoria Sports Tower Monumento – As Low As ₱11,000 Monthly",,,,25 sqm,"₱ 3,872,214","Monumento, Caloocan",1 bedroom,1 bathroom,,,Loft,For Sale,,,,,18 May 2025,Jane Paguirigan
caloocan,1,12% DP IN 36 MOS. 1% DISCOUNT - 𝗧𝗵𝗲 𝗖𝗮𝗹𝗶𝗻𝗲𝗮 𝗧𝗼𝘄𝗲𝗿 - PRESELLING CONDO,,The Calinea Tower,The Calinea Tower,,30 sqm,"₱ 6,007,000","Grace Park East, Caloocan",1 bedroom,1 bathroom,60,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/the-calinea-tower/,13 May 2025,Lorebel Aldea
