city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
las-pinas,1,KGC004 - Tandem Unit in Ohana Place Residence,"FOR SALE: Tandem Unit in Ohana Place Residence
ADDRESS: Las Pinas City
DEVELOPER: DMCI
PROPERTY CODE: KGC004

	OHANA PLACE RESIDENCE

HOUSE DETAILS:
Ground floor unit
141 sqm
3 bedrooms
2 toilet and bathroom
with maids quarters
Big Balcony
with parking
Pet friendly

PAYMENT OPTIONS:
CASH

SELLING PRICE: 15M gross",Ohana Place,Ohana Place,,141 sqm,"₱ 15,000,000","Las Piñas, Metro Manila",3 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/ohana-place/,"5 days, 21 hours ago",Mana Realty Corporation
las-pinas,1,CONDO IN BF HOMES,"Pacific Coast Residences in BF Homes is a smart investment and lifestyle choice:

1. Living in BF Homes is a badge of pride for those who value space and heritage, community over high-rise condo, and suburban calm.
2. Near keyhubs: 15 minutes to Alabang CBD, 20 minutes to NAIA Airport, 30 minutes to Makati/BGC via Cavitex or Skyway.
3. Exclusive and well-planned community
4. Lifestyle and convenience: you've got everything you need inside BF Homes.",Pacific Coast Residences,Pacific Coast Residences,44 sqm,44 sqm,"₱ 6,200,000","B.F. International Village, Las Piñas",2 bedrooms,1 bathroom,1,Unfurnished,Condo,For Sale,2022,,Freehold,https://www.lamudi.com.ph/projects/pacific-coast-residences-1/,"1 week, 4 days ago",LEONORA SANTIAGO
las-pinas,1,South Residences SM Souhthmall 2-bedroom unit For Sale,"Rare Find! 2-Bedroom Condo with Unbeatable View at South Residences - Only ₱5,800,000!

The Property
Seize this incredible opportunity to own a 2-bedroom unit with a balcony at South Residences, Las Piñas City. This well-appointed 36.53 sqm condo offers an exclusive view of the lush amenities and the bustling SM Southmall. At an attractive investment price of just ₱5,800,000.00, this property is a premium living space and a smart investment for your future.

The Neighborhood & Location
South Residences is a crown jewel in the South of Metro Manila, offering a unique blend of suburban tranquility and urban convenience. The property is seamlessly integrated into the SM Southmall Complex, giving you a life of unparalleled ease and accessibility.

	•	Walkability: Imagine having all your shopping, dining, and entertainment needs just a few steps away. You can go to the cinema, skate rink, bowling alley, and countless shops and restaurants without ever having to leave the complex.

	•	A Well-Connected Hub: The strategic location along Alabang-Zapote Road provides easy access to major thoroughfares like the South Luzon Expressway (SLEX), Manila-Cavite Expressway (CAVITEX), and the Skyway, making travel to Makati, BGC, and other parts of Metro Manila a breeze.

Proximity to Vital Installations
Living at South Residences means everything you need is within your reach.

	•	Shopping & Leisure: You have direct access to SM Southmall, one of the biggest and most popular malls in the South, ensuring you have endless options for retail, dining, and entertainment. Other nearby lifestyle hubs include Alabang Town Center and Molito Lifestyle Center.

	•	Healthcare: Reputable hospitals like Las Piñas Medical Center and the Asian Hospital and Medical Center are just a short drive away, providing peace of mind for you and your family.

	•	Education: A number of top-tier schools and universities, including San Beda College Alabang and De La Salle Santiago-Zobel, are in the vicinity.

	•	Transportation: The location is also close to major transport terminals, including the SM Southmall Transportation Bay, making commuting hassle-free. For those who travel often, the Ninoy Aquino International Airport (NAIA) is easily accessible.

Why This is a Very Good Investment
This property is not just a home; it's a future-proof asset.

	•	High Property Appreciation: Condominiums in the South of Metro Manila, especially those in integrated mixed-use developments, have a proven track record of significant value appreciation. 

South Residences' strategic location and seamless connection to a major lifestyle hub ensure that your investment will grow over time.

	•	Excellent Rental Potential: The high demand for housing in this well-connected area, especially among young professionals and small families, makes this unit an excellent source of passive income. Its 2-bedroom layout is particularly attractive to the rental market.

	•	Premium Lifestyle: The resort-style amenities, including adult and kiddie pools, landscaped gardens, and a grand lobby, offer a luxurious and comfortable lifestyle that is highly sought-after. This provides a superior quality of life for residents, making it a compelling choice for both end-users and tenants.

Don't miss out on this opportunity to own a piece of this prime development. Contact us today to schedule a viewing and secure your future in this thriving community!",South Residences,South Residences,36 sqm,36 sqm,"₱ 5,800,000","Las Piñas, Metro Manila",2 bedrooms,1 bathroom,7,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/41032-73-9d67bd742f3-a8e3-e2df617f-ab33-4ade,"1 week, 6 days ago",Apphia Realty
las-pinas,1,Spacious 3 bedrooms Unit In Sonora Garden Las Pinas,"Sonora Garden By DMCI 
3 bedrooms with 2 balcony near Alabang Filinvest area 
near BF Homes, Southville , Airport, Moa
fully finished 
81.50 sqm can buy parking seperate price of 950,000
can buy Installment at least 20% DP to move in RFO projects 
resort amenities

in front of Robinsons Mall",Sonora Garden Residences,Sonora Garden Residences,81 sqm,81 sqm,"₱ 10,200,000","Las Piñas, Metro Manila",3 bedrooms,2 bathrooms,31,Unfurnished,Condo,For Sale,2025,,Freehold,https://www.lamudi.com.ph/projects/sonora-garden-residences/,1 Aug 2025,JGAP HOMES REALTY
las-pinas,1,Paseo Verde Condominium for Sale Las Piñas City,"For Sale: Studio Unit at Paseo Verde, Las Piñas – Ready for Occupancy

Property Location: 308 Real St., Pulanglupa Uno, Las Piñas City

SELLING PRICE: PHP 3,800,000

Description
Discover Paseo Verde, a premier residential development strategically located along C-5 Extension, Pulang Lupa Dos, this thoughtfully planned community offers seamless access to key destinations across Metro Manila, including MOA, BGC, and Makati.

This project features two residential towers designed for professionals, families, and investors seeking comfort and value. It is also near the upcoming LRT-1 Extension (completion by 2027), which will further enhance connectivity to major business hubs.


Unit Specifications:

- Floor Area: 28 sqm
- Unit Type: Studio De Lux
- Orientation/View: Facing Sunrise
- Floor Level: 6th floor, Roxas Tower (Tower I)
- Title Status: Clean Title
- Tax Dec / Real Property Tax - updated as of 2024

Amenities:
- Clubhouse
- Swimming Pool
- Parks & Playground
- Water Tanks & Standby Generator System
- Spacious Roads Within the Property
- Elevator Units

Nearby Key Areas:
- Floriad Lifestyle
- Fiesta Commercial Center
- SM Sucat
- Vista Mall Las Piñas
- University of Perpetual Help DALTA
- Las Piñas General Hospital
- Unihealth Las Piñas
- Our Lady of Peace Hospital

About Paseo Verde:
Paseo Verde is designed for modern, sustainable living in Las Piñas City. It offers a vibrant, accessible, and eco-friendly environment perfect for families and urban dwellers.

Contact us today to arrange a private viewing.

#PaseoVerde #LasPinasCondoForSale #MetroManilaCondo #EcoFriendlyLiving #CondoNearLRT #ModernLiving",,,28 sqm,28 sqm,"₱ 3,800,000","Pulang Lupa Uno, Las Piñas",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,,,Freehold,,29 Jul 2025,Cicerra Realty
las-pinas,1,"Pre-Owned Studio Condo for Sale | Paseo Verde at Real, Las Piñas City – Near NAIA, MOA, and C5 Extension",,Paseo Verde at Real,Paseo Verde at Real,27 sqm,27 sqm,"₱ 3,750,000","Pulang Lupa Uno, Las Piñas",,1 bathroom,,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/paseo-verde-at-real/,29 Jul 2025,Santerra Realty
las-pinas,1,1 Bedroom with balcony South Residences in Las Pinas,"South Residences Las Pinas 
offers the seamless fusion of the life and lifestyle
you have always dreamed of. 

Situated in the Southmall Complex, the development provides premium living,
5-star features and amenities, as well as all the shopping, dining and entertainment choices
found at SM Southmall. 

TRULY A FIVE-STAR LIFESTYLE IN THE SOUTH.

A home that gives you everything that you will ever need and want,
and every reason to look forward to coming home. 

Amenities:
• Adult Swimming Pool 
• Kiddie Pool 
• Gazebos 
• Garden Seats 
• Lush Greens and Landscaping 
• Grand Lobby 
• Function Rooms",South 2 Residences,South 2 Residences,,25 sqm,"₱ 3,600,000","Las Piñas, Metro Manila",1 bedroom,1 bathroom,0,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/south-2-residences/,28 Jul 2025,SMDC Properties by Jovelin Ann
las-pinas,1,Ready for Occupancy 1 Bedroom Condo behind Robinsons Place Las pinas,,Sonora Garden Residences,Sonora Garden Residences,28 sqm,28 sqm,"₱ 4,380,000","Las Piñas, Metro Manila",1 bedroom,1 bathroom,,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/sonora-garden-residences/,26 Jul 2025,Annaliza Reyes
las-pinas,1,3BR Condo RFO Sonora Garden Las Pinas Joint Venture Robinson and DMCI,"DMCI HOMES Condo Along Alabang Zapote Road, Las Pinas.
The Joint Project OF ROBINSON Land And DMCI HOMES.
At the Back of Robinson Place
Mall. Walking distance to Alabang Medical Center,
Pope John Paul Medical Center.

minutes away from Southville International School, University
of Perpetual Help, and Sm Southmall.

Sonora Garden is now ready for
Occupancy!

Units Available as of July 14, 2025

1BR 28sqm - 4.7M   12% down in 36mos 14k/Monthly
2BR 56 sqm - 6.5M  12% down in 36 months 21k monthly
3BR 81sqm - 10.1M.   12% down in 36 mos, 32k /Monthly
Parking slot 13sqm 900,000 12 in 36mos 2,900 monthly

Balance 88% through bank financing.


5% DP Chinabank Promo:

Down Payment (DP) Promo: 5% DP
Special Discount: 2.0% discount on your DP Promo Term
Flexible Down Payment: You have the option to spread the down payment
over 12 fixed months
Promo Ends: Feb 2025

12% DP Promo:

Down Payment (DP) Promo: 12% DP
Special Discount: 1.0% discount on your DP Promo Term
Flexible Down Payment:
 You have the option to spread the down payment over 12 fixed months
Promo Ends: Feb 2024



The reservation fee for a unit is 20,000
Parking slot 10,000

Sample Computation Available Upon Request.

For Assistance Pls Contact
 Corz Cascayan
Accredited in-house Property
Sales Consultant
Direct DMCIHOMES
Since 2012
Accredited DHSUD NCR-A-11646
PRC License No. 005479/00787--",Sonora Garden Residences,Sonora Garden Residences,81 sqm,81 sqm,"₱ 10,196,000","Las Piñas, Metro Manila",3 bedrooms,2 bathrooms,24,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/sonora-garden-residences/,14 Jul 2025,Corz Cascayan
las-pinas,1,"FOR SALE/RENT 6 Studio type Units  Available in Viento at Cera, Las Piñas City","Property ID: SC138

FOR SALE/RENT 6 Studio type Units  Available in Viento at Cera, Las Piñas City

Floor No.: N/A
Floor Area: 24 sqm
No. Of Bedroom: 0
No. Of T&B: 1
No. Parking Slots: N/A

Other Details:
6 units available
Open for bank loan
Developer: Ayala Land Inc.
Ready for occupancy
Studio type

SALE PRICE: P6,500,000.00  

RENT PRICE: P20,000 per month inclusive of Association Dues
Terms of payment: 1 year advance and 2 months deposit plus PDCs
Minimum lease duration: 1 year",,,24 sqm,24 sqm,"₱ 6,500,000","Pamplona Dos, Las Piñas",,1 bathroom,,,Condo,For Sale,,,,,14 Jul 2025,LS Properties Ph
