city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
makati,1,Rare 2 Bedroom 2BR Unit for Sale in One Legazpi Park Makati!,,One Legazpi Park,One Legazpi Park,97 sqm,97 sqm,"₱ 26,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/one-legazpi-park/,13 hours ago,Rhonalyn Sinag
makati,1,"2-Bedroom Unit in The Estate Makati, Makati City","A rare gem rising along Ayala Avenue has rightfully claimed its place among Asia’s best.

The Estate Makati garnered the highly coveted Best Condo Development (Asia) and Best Ultra Luxury Condo Development (Asia) awards at the prestigious PropertyGuru Asia Property Awards Grand Final held earlier this month. These victories by The Estate Makati—a joint venture of SM Development Corp. (SMDC) and Federal Land Inc.—serve as resounding validations of its bold claims to sophistication, exclusivity, and innovation.

Sample Computation:
Unit 5A
2BR
151.1 sqms
2 parking slots

Terms:  Spot 20% 30% over 30 Months, 50% Balance
List price:  83,430,508
Net Selling Price: 83,430,508
VAT:  10,011,661
Total Price with VAT:  93,442,169
Other Charges:  4,171,525
Total Contract Price:  97,613,695

Reservation:  500,000
Spot DP 20% : 18,188,433
30% over 30 Months (VAT Inclusive):  934,421
Balance 50% Spot or Bank:  46,721,084
Other Charges: 4,171,525

*Other payment terms also available.",,,,151 sqm,"₱ 83,430,508","Urdaneta, Makati",2 bedrooms,1 bathroom,,Partly furnished,Condo,For Sale,,2,Freehold,,13 hours ago,Broker Rosalyn de Guino
makati,1,For Sale 3 Bedroom Condo Loft at Edades Tower Rockwell Makati,"3BR Loft Unit at Edades Tower, Rockwell

Area: 161 sqm
Bedroom: 3
Bathroom: 3
Parking: 2

Condition: Semi-furnished
•⁠  ⁠Loft Type
•⁠  ⁠Open kitchen
•⁠  ⁠High Floor
•⁠  ⁠Corner Unit
•⁠  ⁠With balcony
•⁠  ⁠Facing Makati/BGC Skyline
•⁠  ⁠with view of Powerplant mall

SALE PRICE: Php 65M

To schedule a private viewing, please contact: 

Shi Properties PH
Making a Difference One Property at a Time",EDADES TOWER AND GARDEN VILLAS,EDADES TOWER AND GARDEN VILLAS,164 sqm,164 sqm,"₱ 65,000,000","Makati, Metro Manila",3 bedrooms,3 bathrooms,35,,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/edades-tower-and-garden-villas/,14 hours ago,Shiera Lining
makati,1,FULLY FURNISHED UNIT IN LE GRAND,FULLY FURNISHED UNIT IN LE GRAND,,,,153 sqm,"₱ 19,500,000","Bel-Air, Makati",2 bedrooms,1 bathroom,2,Partly furnished,Condo,For Sale,,,,,15 hours ago,HousingInteractive Inc.
makati,1,FULLY FURNISHED 1BR UNIT WITH PARKING FOR SALE IN THE RESIDENCES AT GREENBELT,FULLY FURNISHED 1BR UNIT WITH PARKING FOR SALE IN THE RESIDENCES AT GREENBELT,,,,76 sqm,"₱ 23,750,000","Legazpi Village, Makati",1 bedroom,1 bathroom,26,Fully furnished,Condo,For Sale,,1,,,15 hours ago,HousingInteractive Inc.
makati,1,BRAND NEW 1-BEDROOM UNIT FOR SALE IN THE RISE,Start to live in a modern life in Makati by buying this brand new 1-bedroom unit from The Rise! Hurry up as this unit will have its construction completed this November 2020! Head now to HousingInteractive and allow us to assist you in having this property!,,,,28 sqm,"₱ 6,800,000","San Antonio, Makati",1 bedroom,1 bathroom,43,Unfurnished,Condo,For Sale,,,,,15 hours ago,HousingInteractive Inc.
makati,1,FULLY FURNISHED 3BR UNIT WITH BALCONY AND PARKING FOR SALE IN THE RESIDENCES AT GREENBELT,FULLY FURNISHED 3BR UNIT WITH BALCONY AND PARKING FOR SALE IN THE RESIDENCES AT GREENBELT,,,,165 sqm,"₱ 50,000,000","Legazpi Village, Makati",3 bedrooms,3 bathrooms,47,Fully furnished,Condo,For Sale,,2,,,15 hours ago,HousingInteractive Inc.
makati,1,"FOR SALE: Condo Unit located at Park Terraces Tower, Makati City","FOR SALE: Condo Unit located at Park Terraces Tower, Makati City

Floor area: 82 sqm
Fronting San Lorenzo Village
With unobstructed South facing views
A special 1 bedroom (No balcony)
Semi furnished with built in wardrobe closet
Fully equipped kitchen with cooker and hood
Furniture can be an option
1 parking slot
Ready for occupancy

Selling Price: P30M gross

ID: JGZ3530
Under PRC 12640",,,,82 sqm,"₱ 30,000,000","Makati, Metro Manila",,,,,Condo,For Sale,,1,,,19 hours ago,Grandeur Realty
makati,1,For Sale/Lease: Condo Unit located at Proscenium Rockwell Lincoln,"For Sale/Lease: Condo Unit located at Proscenium Rockwell Lincoln

Floor Area : 118 sqm
2 Bedrooms
1 Parking
RFO
Fully-furnished

Rent fee:₱160k/month included association dues
2months deposit + 2months advance
Terms:1-year contract

Sale price: P46M gross

ID: JGZ3515
Under PRC 12640",,,,118 sqm,,"Guadalupe Viejo, Makati",2 bedrooms,,,Fully furnished,Condo,Buy & Rent,,1,,,20 hours ago,Grandeur Realty
makati,1,"RUSH SALE STUDIO UNIT FOR SALE❗️MANANSALA TOWER, ROCKWELL MAKATI CITY","Manansala tower
36th floor
39sqm 
Semi furnished 
1 parking 
Clean title 
Asking: 12M gross 
Slightly NEGOTIABLE

Please message me:
𝗠𝗮𝗿𝗶𝗰𝗮𝗿 𝗡𝗮𝘁𝗶𝘃𝗶𝗱𝗮𝗱
+63968640----
Under PRC REBL No.15842 
Certified Real Estate Broker

𝐑𝐌𝐒 𝐏𝐫𝐨𝐩𝐞𝐫𝐭𝐢𝐞𝐬
We hope to serve you best today, tomorrow and always. Thank you!",Manansala Rockwell,Manansala Rockwell,39 sqm,39 sqm,"₱ 12,000,000","Bangkal, Makati",3 bedrooms,,,Partly furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/41032-73-ffed4b95643a-1102-7e7df6f5-8322-4efd,20 hours ago,RMS PROPERTIES
