city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
mandaluyong,1,"FOR SALE - Brand New Condo Unit in Shang Residences At Wack Wack, Mandaluyong City","FOR SALE
Shang Residences At Wack Wack, Brgy. Wack Wack, Mandaluyong City
Brand New Condo Unit
Floor Area: 142.14 sqm
2 bedrooms with T&B
1 parking slot
Price: P48,000,000 gross
(Photos to follow)

Disclaimer: All property availability and prices are subject to change without prior notice. Although we make every effort to ensure the accuracy of the information provided, we strongly recommend that you verify all details with us directly before making any decisions",,,,142 sqm,"₱ 48,000,000","Wack-Wack Greenhills, Mandaluyong",2 bedrooms,,,,Condo,For Sale,,,,,5 hours ago,Luxe Realty
mandaluyong,1,Prime 3-Bedroom Unit at Shang Residences Wack Wack,"✨ Pre-Selling Luxury 3-Bedroom Unit at Shang Residences Wack Wack ✨

Live in the heart of Mandaluyong with a home that offers both prestige and comfort. 🌆
✔️ Spacious 3 Bedrooms
✔️ World-class Shangri-La amenities
✔️ Overlooking Wack Wack Golf & Country Club ⛳
✔️ Prime Mandaluyong location – near Ortigas, BGC, and Makati

Don’t miss the chance to own a piece of Shangri-La living. Perfect for families or investors!

📍 Shang Residences at Wack Wack, Mandaluyong City
💼 Pre-selling terms available",,,232 sqm,232 sqm,"₱ 55,375,200","Wack-Wack Greenhills, Mandaluyong",3 bedrooms,4 bathrooms,25,Partly furnished,Condo,For Sale,,2,Freehold,,1 day ago,Nic Casis
mandaluyong,1,3 Bedroom Condo Corner Unit For Sale Kai Garden Residences Dansalan St. Mandaluyong City,"The Kai Garden Residences is a high-end, resort-inspired, high-rise condominium project of DMCI Homes. Located along Boni Ave. near Dansalan St. in Mandaluyong City. Minutes from the Ortigas, BGC and Makati CBDs.

Amenities: 24-hour Security, Playground, Gym, Gazebo/ Cabana, Game Room, Grill Pits, Open Lawn/Picnic Grove, Lounge Area, Roof Deck, Provision for CCTV Cameras, Standby Electric Generator

Unit is located in 35th floor Sugi Bldg. 81.50sqm 3BR,  Facing East morning sun with a view of facing Ortigas.

with free basic internet.

Selling Price Php9,950,000 = 122k/sqm

Tenanted with lease income Php38,500 til Feb. 2026

Down payment spread out, without interest for the next 20 months.

Inclusive of Capital Gains Tax

Terms are cash or bank financing


Kai Garden Residences 3 bedroom rent
Kai Garden Residences
Kai Garden Condo
Affordable Mandaluyong condo
Mandaluyong condo for rent
3 bedroom condo Kai Garden Residences
3 bedroom Mandaluyong City
NEW Condo for sale Kai Garden Residences",,,81 sqm,81 sqm,"₱ 9,950,000","Malamig, Mandaluyong",3 bedrooms,2 bathrooms,35,Unfurnished,Condo,For Sale,,,,,"1 day, 2 hours ago",Obet Guzman Jr.
mandaluyong,1,2 BEDROOMS FOR SALE CONDO IN MANDALUYONG,"🔴 𝗦𝗔𝗟𝗘 - 2 BEDROOM CONDO IN MANDALUYONG

𝐶𝑂𝑁𝐷𝑂 𝑁𝐴𝑀𝐸: Kai Garden Residences
𝐴𝐷𝐷𝑅𝐸𝑆𝑆: Dansalan Street, Brgy. Malamig, Mandaluyong City 
𝐷𝐸𝑉𝐸𝐿𝑂𝑃𝐸𝑅: DMCI Homes
𝑃𝑅𝑂𝑃𝐸𝑅𝑇𝑌 𝑇𝑌𝑃𝐸: Residential Condominium
𝑂𝐶𝐶𝑈𝑃𝐴𝑁𝐶𝑌 𝑆𝑇𝐴𝑇𝑈𝑆: Ready To Occupy

𝗣𝗥𝗢𝗣𝗘𝗥𝗧𝗬 𝗗𝗘𝗧𝗔𝗜𝗟𝗦
Building = Sugi
Floor level = 32nd
# of bedrooms = 2
# of bathroom = 1
# of parking = 1 (Basement 4)
Balcony = Yes
Floor area = 53.5 sqm
Househelp/Storage Room = 0
Furnished Status = Unfurnished
Facing/view = 

𝗢𝗖𝗖𝗨𝗣𝗔𝗡𝗖𝗬 𝗦𝗧𝗔𝗧𝗨𝗦
Occupied by the owner

𝗧𝗜𝗧𝗟𝗘 𝗦𝗧𝗔𝗧𝗨𝗦
Clean Title

𝗦𝗘𝗟𝗟𝗜𝗡𝗚 𝗣𝗥𝗜𝗖𝗘
Php 8,000,000.00 (6% CGT inclusive)

𝗠𝗢𝗗𝗘 𝗢𝗙 𝗣𝗔𝗬𝗠𝗘𝗡𝗧
Cash or Bank Financing

📩 Send us a message today for unit viewing and bank home loan application!

𝑌𝑜𝑢𝑟 𝑛𝑒𝑥𝑡 𝑚𝑜𝑣𝑒 𝑠𝑡𝑎𝑟𝑡𝑠 𝑤𝑖𝑡ℎ 𝑎 𝑚𝑒𝑠𝑠𝑎𝑔𝑒. 
𝐃𝐫𝐨𝐩 𝐮𝐬 𝐚 𝐥𝐢𝐧𝐞 𝐭𝐨𝐝𝐚𝐲!

𝐌𝐒 𝐆𝐑𝐎𝐔𝐏 𝑜𝑓 𝐴𝑔𝑒𝑛𝑡𝑠 𝑎𝑛𝑑 𝐴𝑠𝑠𝑜𝑐𝑖𝑎𝑡𝑒 
by Mana Realty Corporation
📞  𝟎𝟗𝟏𝟓-𝟐𝟕𝟒-𝟗𝟗𝟖𝟒 (viber, whatsapp, telegram) | 📧  𝐦𝐞𝐥𝐯𝐢𝐧𝐬𝐚𝐥𝐯𝐢𝐝𝐚𝐫@𝐠𝐦𝐚𝐢𝐥.𝐜𝐨𝐦

📌 Office Address: Unit 3, 2nd floor, Garza Building, Dansalan Street, Barangay Malamig, Mandaluyong City

#condoinmandaluyong #MandaluyongCondo #condoforsale #dmcihomescondominiums #dmcihomes",Kai Garden Residences,Kai Garden Residences,53 sqm,53 sqm,"₱ 8,200,000","Malamig, Mandaluyong",2 bedrooms,1 bathroom,32,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/kai-garden-residences/,"1 day, 20 hours ago",Melvin Salvidar by Mana Realty Corporation
mandaluyong,1,2 BEDROOM CONDO FOR SALE IN MANDALUYONG,"🔴 𝗦𝗔𝗟𝗘
2 BEDROOM CONDO IN MANDALUYONG

𝐶𝑂𝑁𝐷𝑂 𝑁𝐴𝑀𝐸: Kai Garden Residences
𝐴𝐷𝐷𝑅𝐸𝑆𝑆: Dansalan Street, Brgy. Malamig, Mandaluyong City 
𝐷𝐸𝑉𝐸𝐿𝑂𝑃𝐸𝑅: DMCI Homes
𝑃𝑅𝑂𝑃𝐸𝑅𝑇𝑌 𝑇𝑌𝑃𝐸: Residential Condominium
𝑂𝐶𝐶𝑈𝑃𝐴𝑁𝐶𝑌 𝑆𝑇𝐴𝑇𝑈𝑆: Ready To Occupy

𝗣𝗥𝗢𝗣𝗘𝗥𝗧𝗬 𝗗𝗘𝗧𝗔𝗜𝗟𝗦
Building = Sugi
Floor level = 14th
# of bedrooms = 2
# of bathroom = 1
# of parking = 0
Balcony = Yes
Floor area = 53.5 sqm
Househelp/Storage Room = 0
Furnished Status = Fully Furnished
Facing/view = Amenity Area

𝗢𝗖𝗖𝗨𝗣𝗔𝗡𝗖𝗬 𝗦𝗧𝗔𝗧𝗨𝗦
Vacant

𝗧𝗜𝗧𝗟𝗘 𝗦𝗧𝗔𝗧𝗨𝗦
Clean Title

𝗦𝗘𝗟𝗟𝗜𝗡𝗚 𝗣𝗥𝗜𝗖𝗘
Php 7,000,000.00 (6% CGT inclusive)

𝗠𝗢𝗗𝗘 𝗢𝗙 𝗣𝗔𝗬𝗠𝗘𝗡𝗧
Cash or Bank Financing

📩 Send us a message today for unit viewing and bank home loan application!

𝑌𝑜𝑢𝑟 𝑛𝑒𝑥𝑡 𝑚𝑜𝑣𝑒 𝑠𝑡𝑎𝑟𝑡𝑠 𝑤𝑖𝑡ℎ 𝑎 𝑚𝑒𝑠𝑠𝑎𝑔𝑒. 
𝐃𝐫𝐨𝐩 𝐮𝐬 𝐚 𝐥𝐢𝐧𝐞 𝐭𝐨𝐝𝐚𝐲!

𝐌𝐒 𝐆𝐑𝐎𝐔𝐏 𝑜𝑓 𝐴𝑔𝑒𝑛𝑡𝑠 𝑎𝑛𝑑 𝐴𝑠𝑠𝑜𝑐𝑖𝑎𝑡𝑒 
by Mana Realty Corporation
📞  𝟎𝟗𝟏𝟓-𝟐𝟕𝟒-𝟗𝟗𝟖𝟒 (viber, whatsapp, telegram) | 📧  𝐦𝐞𝐥𝐯𝐢𝐧𝐬𝐚𝐥𝐯𝐢𝐝𝐚𝐫@𝐠𝐦𝐚𝐢𝐥.𝐜𝐨𝐦

📌 Office Address: Unit 3, 2nd floor, Garza Building, Dansalan Street, Barangay Malamig, Mandaluyong City

#condoinmandaluyong #MandaluyongCondo #condoforsale #dmcihomescondominiums #dmcihomes",Kai Garden Residences,Kai Garden Residences,53 sqm,53 sqm,"₱ 7,200,000","Malamig, Mandaluyong",2 bedrooms,1 bathroom,14,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/kai-garden-residences/,"1 day, 20 hours ago",Melvin Salvidar by Mana Realty Corporation
mandaluyong,1,3 BEDROOM CONDO FOR SALE IN MANDALUYONG,"🔴 𝗦𝗔𝗟𝗘 - 3 BEDROOM CONDO IN MANDALUYONG

𝐶𝑂𝑁𝐷𝑂 𝑁𝐴𝑀𝐸: SHERIDAN TOWERS
𝐴𝐷𝐷𝑅𝐸𝑆𝑆: Sheridan Street, Mandaluyong City
𝐷𝐸𝑉𝐸𝐿𝑂𝑃𝐸𝑅: DMCI Homes
𝑃𝑅𝑂𝑃𝐸𝑅𝑇𝑌 𝑇𝑌𝑃𝐸: Residential Condominium
𝑂𝐶𝐶𝑈𝑃𝐴𝑁𝐶𝑌 𝑆𝑇𝐴𝑇𝑈𝑆: Ready To Occupy

𝗣𝗥𝗢𝗣𝗘𝗥𝗧𝗬 𝗗𝗘𝗧𝗔𝗜𝗟𝗦
Building = North
Floor level = 44
# of bedrooms = 3
# of bathroom = 1
# of parking = 0
Balcony = Yes
Floor area = 79.5 sqm
Househelp/Storage Room = 0
Furnished Status = Fully Furnished
Facing/view = BGC/Makati/Amenity Area

𝗢𝗖𝗖𝗨𝗣𝗔𝗡𝗖𝗬 𝗦𝗧𝗔𝗧𝗨𝗦
Tenanted til Dec 2025

𝗧𝗜𝗧𝗟𝗘 𝗦𝗧𝗔𝗧𝗨𝗦
Clean Title

𝗦𝗘𝗟𝗟𝗜𝗡𝗚 𝗣𝗥𝗜𝗖𝗘
Php 9,990,000.00 (6% CGT inclusive)

𝗠𝗢𝗗𝗘 𝗢𝗙 𝗣𝗔𝗬𝗠𝗘𝗡𝗧
Cash or Bank Financing

📩 Send us a message today for unit viewing and bank home loan application!

𝑌𝑜𝑢𝑟 𝑛𝑒𝑥𝑡 𝑚𝑜𝑣𝑒 𝑠𝑡𝑎𝑟𝑡𝑠 𝑤𝑖𝑡ℎ 𝑎 𝑚𝑒𝑠𝑠𝑎𝑔𝑒. 
𝐃𝐫𝐨𝐩 𝐮𝐬 𝐚 𝐥𝐢𝐧𝐞 𝐭𝐨𝐝𝐚𝐲!

𝐌𝐒 𝐆𝐑𝐎𝐔𝐏 𝑜𝑓 𝐴𝑔𝑒𝑛𝑡𝑠 𝑎𝑛𝑑 𝐴𝑠𝑠𝑜𝑐𝑖𝑎𝑡𝑒 
by Mana Realty Corporation

Melvin Salvidar - Mana Realty Corporation 
📞  𝟎𝟗𝟏𝟓-𝟐𝟕𝟒-𝟗𝟗𝟖𝟒 (viber, whatsapp, telegram) | 📧  𝐦𝐞𝐥𝐯𝐢𝐧𝐬𝐚𝐥𝐯𝐢𝐝𝐚𝐫@𝐠𝐦𝐚𝐢𝐥.𝐜𝐨𝐦

📌 Office Address: Unit 3, 2nd floor, Garza Building, Dansalan Street, Barangay Malamig, Mandaluyong City

#condoinmandaluyong #MandaluyongCondo #condoforsale #dmcihomescondominiums #dmcihomes #sheridantowers",Sheridan Towers,Sheridan Towers,79 sqm,79 sqm,"₱ 9,990,000","Buayang Bato, Mandaluyong",3 bedrooms,1 bathroom,44,Fully furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/sheridan-towers/,"1 day, 20 hours ago",Melvin Salvidar by Mana Realty Corporation
mandaluyong,1,"FOR SALE - Unfurnished Unit with Balcony in One Shangri-La Place, Ortigas Center, Mandaluyong City","FOR SALE
One Shangri-La Place, Ortigas Center, Brgy. Wack-Wack, Mandaluyong City 
Unfurnished Unit with Balcony
Floor Area: 117 sqm
2 bedrooms with 2 T&B
Maid’s room with T&B
1 parking slot
Price: P34,900,000 gross negotiable

Disclaimer: All property availability and prices are subject to change without prior notice. Although we make every effort to ensure the accuracy of the information provided, we strongly recommend that you verify all details with us directly before making any decisions",,,,117 sqm,"₱ 34,900,000","Wack-Wack Greenhills, Mandaluyong",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,,"1 day, 23 hours ago",Luxe Realty
mandaluyong,1,SUNTRUST TREETOP VILLAS CONDO UNIT FOR SALE,"CONDO UNIT FOR SALE!!!

LOCATION: Suntrust Treetop Villas
Hulo Mandaluyong City

FLOOR: 5th
TOWER: Cluster 3
PARKING: With 1 Parking
BEDROOM: 2br 
BATHROOM: 1
FLOOR AREA: 30 sqm

-Fully furnished
-Pet friendly
No balcony
For more details pm me.
FOR SALE
UNIT with parking 
7M All-in",,,30 sqm,30 sqm,"₱ 7,000,000","Hulo, Mandaluyong",2 bedrooms,1 bathroom,5,Fully furnished,Condo,For Sale,2021,1,Freehold,,"1 day, 23 hours ago",Ronelyn Piañar
mandaluyong,1,"TWIN OAKS PLACE TOWER 1, HIGH LOFT TYPE","Twin Oaks Place Tower 1, 40M, High Rise

Loft Type 1 bedroom, 40th Floor
Lot area 55.080 M2
Unit: 12M value
Twin Oaks Place, West Parking
B3 06
Floor area: 12.50 sqm
Parking: 1,855,625.00

Pay to seller amount: 2.2M (transfer fee already included)
Ready for turn over and bank financing
Will transfer to the name of the new buyer upon payment (transfer process will still be under Greenfield Corp..
Contract to sell will be transferred to new buyer
New buyer will then apply for bank financing for both unit & parking",,,12 sqm,55 sqm,"₱ 12,000,000","Highway Hills, Mandaluyong",1 bedroom,1 bathroom,40,Unfurnished,Condo,For Sale,2019,1,Freehold,,"2 days, 1 hour ago",Ronelyn Piañar
mandaluyong,1,Residential Condominium in Fame Residences Mandaluyong City For Sale,"ALMOST BRAND NEW UNIT
Walking distance from Fame Mall, Greenfield District, Pavilion Mall, The portal
Near SM Megamall, Podium Mall

PRIME UNIT
Fully Furnished
Facing Ortigas Skyline
Facing East
End Corner Unit
1-bedroom with Balcony

with Mortgage",,,,25 sqm,"₱ 4,600,000","Highway Hills, Mandaluyong",,,,,Condo,For Sale,,,Freehold,,"2 days, 1 hour ago",My Hometown Realty and Developer Inc. (DMGS)
