city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
manila,1,Hotels for Sale - Manila,"Hotels for Sale - Manila 

Old Hotel for Renovation
Roxas Blvd Malate Manila 
Lot Area: 4,553 sqm 
6 Storeys, 96 rooms 
Prime tourist location 
Price: Php 4.5 Billion negotiable 

4 Star Hotels for sale
Roxas Blvd Pasay Manila
Lot Area: 4,596 sqm 
19 storey bldg, fully furnished 
308 spacious bedrooms with bath
Adult & kids pool, gym, resto, bar 
Conference hall and facilities 
One level parking
Price: Php 4.5 Billion 

STRICTLY DIRECT BUYERS ONLY. No brokers or agents please. 

More available. Commercial lots and buildings also available in: 

Makati CBD 
Fort BGC 
Aseana Macapagal 
Mauban QC 
Ortigas",,,"4,553 sqm","2,633 sqm","₱ 4,500,000,000","Malate, Manila",,,,,Condotel,For Sale,,,,,1 hour ago,A-list Properties
manila,1,Nice Rental Condo For Sale in Taft Avenue Manila,"Rental Condo For Sale in Taft Avenue Manila

Smart City Living, Smart Investment!
Here’s your chance to own a 1-Bedroom with Parking at Torre De Manila by DMCI Homes—perfect as your personal space or rental property.

TORRE DE MANILA
Taft Avenue, Manila
✔️ Strategic location in Manila, near UST, FEU, and major universities
✔️ Easy access to Makati, BGC, and Quezon City
✔️ With dedicated parking—highly valued in Manila properties
✔️ Competitive rental demand from students and professionals

Unit Details:
1 Bedroom with balcony
1 T&B
Unit Area: 30.5sqm
1 Parking Slot 13sqm

Secure a property that appreciates in value while giving you rental income potential.

📲 Inquire now and let’s turn this into your best investment move yet!
MICHELLE MADARANG
Real Estate Broker Lic. No. 19349",Torre De Manila,Torre De Manila,30 sqm,30 sqm,"₱ 6,499,000","Ermita, Manila",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,2020,1,Freehold,https://www.lamudi.com.ph/projects/torre-de-manila/,15 hours ago,"Michelle Madarang, REB"
manila,1,Hotels for Sale - Manila,"Hotels for Sale - Manila 

Old Hotel for Renovation
Roxas Blvd Malate Manila 
Lot Area: 4,553 sqm 
6 Storeys, 96 rooms 
Prime tourist location 
Price: Php 4.5 Billion negotiable 

4 Star Hotels for sale
Roxas Blvd Pasay Manila
Lot Area: 4,596 sqm 
19 storey bldg, fully furnished 
308 spacious bedrooms with bath
Adult & kids pool, gym, resto, bar 
Conference hall and facilities 
One level parking
Price: Php 4.5 Billion 

STRICTLY DIRECT BUYERS ONLY. No brokers or agents please. 

More available. Commercial lots and buildings also available in: 

Makati CBD 
Fort BGC 
Aseana Macapagal 
Mauban QC 
Ortigas",,,"4,553 sqm","2,633 sqm","₱ 4,500,000,000","Malate, Manila",,,,,Condotel,For Sale,,,,,22 hours ago,A-list Properties
manila,1,Prime Location Stunning Views 1BR with Parking slot Torre De Manila Dmci Homes,,Torre De Manila,Torre De Manila,30 sqm,30 sqm,"₱ 6,800,000","Ermita, Manila",1 bedroom,1 bathroom,45,Partly furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/torre-de-manila/,1 day ago,Wilver  Madarang
manila,1,2BR Mayfair Tower Erminta Manila with Parking,"80.75 sqm 2BR FOR SALE at Mayfair Tower UN Ave. Ermita Manila
Converted to 1 Bed Room
Semi Furnished with Aircon located 16th floor
with Parking 2 @ 3rd floor
Asking price is 12M net
DIRECT BUYER only Broker

Amenities:
- 30 meter lap pool
- Kiddie Pool
- Function room
- Fitness Center
- Meeting room
- Sauna/Spa
- Viewing Deck
- Function Hall

NEARBY AREAS:
- U.S. Embassy
- Rizal Park
- National Museum
- Ocean Park
- Robinson's Place Manila

Clean title already, updated RPT and dues, open for bank financing
CGT, DST, transfer, and miscellaneous fees will be shouldered by the buyer",Mayfair Tower,Mayfair Tower,76 sqm,76 sqm,"₱ 11,500,000","Ermita, Manila",2 bedrooms,1 bathroom,16,Partly furnished,Condo,For Sale,2012,1,Freehold,https://www.lamudi.com.ph/projects/mayfair-tower/,"1 day, 22 hours ago",Patrick Apigo
manila,1,Hotels for Sale - Manila,"Hotels for Sale - Manila 

Old Hotel for Renovation
Roxas Blvd Malate Manila 
Lot Area: 4,553 sqm 
6 Storeys, 96 rooms 
Prime tourist location 
Price: Php 4.5 Billion negotiable 

4 Star Hotels for sale
Roxas Blvd Pasay Manila
Lot Area: 4,596 sqm 
19 storey bldg, fully furnished 
308 spacious bedrooms with bath
Adult & kids pool, gym, resto, bar 
Conference hall and facilities 
One level parking
Price: Php 4.5 Billion 

STRICTLY DIRECT BUYERS ONLY. No brokers or agents please. 

More available. Commercial lots and buildings also available in: 

Makati CBD 
Fort BGC 
Aseana Macapagal 
Mauban QC 
Ortigas",,,"4,553 sqm","2,744 sqm","₱ 4,500,000,000","Malate, Manila",,,,,Condotel,For Sale,,,,,"1 day, 23 hours ago",A-list Properties
manila,1,WH TAFT RESIDENCES STUDIO FOR SALE,"WH TAFT RESIDENCES
STUDIO UNIT
PERSONAL USE-Owner a Medical Doctor
6M nett to seller
5% broker fee c/o buyer
6% cgt and other taxes c/o buyer

18th floor",,,29 sqm,29 sqm,"₱ 6,700,000","Malate, Manila",1 bedroom,1 bathroom,18,Unfurnished,Studio,For Sale,2018,,Freehold,,"2 days, 1 hour ago",Property Collective PH (PCPH Realty and Property Management Services)
manila,1,Studio unit for sale or rent-to-own perfect for students near PUP U-Belt and LRT-2 accessible,"Unit Features
* Convertible to 1 bedroom
Flooring: Ceramic tiles in living, dining, kitchen, bedroom, and T&B
Kitchen: Granite countertop, overhead and undercounter cabinets, provision for range hood and exhaust fan
Bathroom: Wall-hung sink or vessel-type basin, mechanical ventilation
Utilities: Fiber telecom, CATV outlets, single-point water heater, provisions for window-type aircon and washing machine, backup power (1 outlet + 1 lighting)

Transport & Access
	•	Strategically located at Santol Ext. corner Magsaysay Blvd., Sta. Mesa
	•	Close to LRT-2 V. Mapa and Pureza Stations (5–8 mins walk)
	•	Easy access to Aurora Blvd; Accessible via Aurora Blvd., Magsaysay Blvd., and Ramon Magsaysay Ave.
        •	Multiple jeepney, bus, and UV Express routes nearby

Nearby Schools & Universiities
        •      PUP Sta. Mesa – ~5 minutes walk
	•	Central Colleges of the Philippines – 5 minutes walk
	•	UERM (University of the East Ramon Magsaysay) – 10 minutes
	•	University of the East (Manila) – ~10–12 minutes
	•	University of Santo Tomas (UST) – 15–18 minutes
	•	San Beda College / CEU / San Sebastian – 15 minutes

Nearby Business & Commercial Areas
	•	SM City Sta. Mesa – ~5 minutes
	•	Gateway Mall / Cubao Araneta Center – 15 minutes via LRT-2
	•	Greenhills Shopping Center – 15–20 minutes
	•	Ortigas CBD (Robinsons Galleria, Megamall, etc.) – 20–25 minutes
	•	Divisoria / Binondo – 20 minutes
	•	Bonifacio Global City (BGC) – 30–40 minutes
	•	Makati CBD – 30–40 minutes

Nearby Hospitals
	•	Our Lady of Lourdes Hospital – 3–5 minutes
	•	UERM Memorial Medical Center – 10 minutes
	•	UST Hospital – ~15–18 minutes
	•	Chinese General Hospital – 18–20 minutes
	•	St. Luke’s Medical Center (Quezon City) – 25 minutes

Recreational Amenities
	•	22-meter lap pool and kiddie pool with changing/shower rooms
	•	Paved sunbathing deck, outdoor bar & lounge
	•	Jogging path and fitness gym
	•	Green landscaped gardens, central island park, children’s playground
	•	Function hall (≈100 pax) for events and social gatherings
	•	Commercial area with retail services on ground level ￼ ￼ ￼

Building Facilities & Services
	•	Interior-designed lobby and mailroom
	•	24/7 security, maintenance, and CCTV surveillance in common areas  ￼ ￼
	•	100% stand-by automatic generator for common areas
	•	Fire alarm, smoke detection system, automatic sprinkler system, and            two fire exits per tower
	•	Central sanitary disposal system
	•	Water reservoir with fire reserves and allocated emergency load for residential units  ￼ ￼
	•	High-speed elevators (3–4 per tower) and commercial area podium  ￼",,,23 sqm,23 sqm,"₱ 4,701,245","Santa Mesa, Manila",1 bedroom,1 bathroom,14,Partly furnished,Studio,For Sale,,,Freehold,,"2 days, 14 hours ago",Denise-Anne Gwyneth Masangkay Matriano
manila,1,1 Bedroom Condo For SALE at Grand Riviera Suites,"1 Bedroom Condo For SALE at Grand Riviera Suites

PRICE: Php 11,500,000 (NET)
Area: 40 sqm
Bedroom: 1
Bathroom: 1
Parking: 1
Balcony: None
Pet Friendly: Yes (w/ bldg restrictions)

FULLY FURNISHED
- Bed
- Sala Set
- Dining Set
- Kitchen Set

Address: Grand Riviera Suites, Roxas Boulevard (Infront of US Embassy)

For viewing schedule, please contact:
RANDY DE VERA
Licensed Real Estate Broker
PRC ID No. 0031532
DHSUD ID No. 006991
(0998) 996----- (Viber/WhatsApp/WeChat)
(02) 8726----- (PLDT Landline)",Grand Riviera Suites,Grand Riviera Suites,40 sqm,40 sqm,"₱ 11,500,000","Ermita, Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/grand-riviera-suites/,"2 days, 16 hours ago",Randy de Vera
manila,1,Hotels for Sale - Manila,"Hotels for Sale - Manila 

Old Hotel for Renovation
Roxas Blvd Malate Manila 
Lot Area: 4,553 sqm 
6 Storeys, 96 rooms 
Prime tourist location 
Price: Php 4.5 Billion negotiable 

4 Star Hotels for sale
Roxas Blvd Pasay Manila
Lot Area: 4,596 sqm 
19 storey bldg, fully furnished 
308 spacious bedrooms with bath
Adult & kids pool, gym, resto, bar 
Conference hall and facilities 
One level parking
Price: Php 4.5 Billion 

STRICTLY DIRECT BUYERS ONLY. No brokers or agents please. 

More available. Commercial lots and buildings also available in: 

Makati CBD 
Fort BGC 
Aseana Macapagal 
Mauban QC 
Ortigas",,,"4,553 sqm","2,633 sqm","₱ 4,500,000,000","Malate, Manila",,,,,Condotel,For Sale,,,,,"3 days, 3 hours ago",A-list Properties
