city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
paranaque,1,RFO Condo near DFA Bay City Manila,"‼️ For Sale Condo Unit  Ready for Occupancy‼️

📌 Solemare Parksuites Condominium Bradco ave. Aseana Park Parañaque City. 

➡️ 1 unit - 24.70 sqm 

✅ 1 bedroom
✅ 1 toilet and bath
✅ living area 
✅ kitchen 
✅ 9th floor


♦️ Nearby
📍 Parqal Mall 
📍 MOA Mall of Asia 
📍 DFA Maacapagal
📍Japan Embassy Extension Parqal Mall
📍American Embassy Extension Parqal Mall
📍 Solaire 
📍 Okada Manila
📍 City of Dreams
📍 Resorts World Manila
📍 Ayala Malls Manila Bay
📍 Baclaran Church 
📍 Gas Station
📍 School
📍 Church
📍 MOA Arena
📍 Landers Bay City Manila
📍 Landmark Bay City Manila
 📌Hospital 
St. Lukes Hospital Bay City Manila (Soon to rise. A Flagship Project of St. Lukes hospital in Metro Manila) 

📌 Easy access to Banks, Restaurants, Grocery and Others.
📌Complete Amenities like Pool, Gym, function hall. 

Selling at Php 6,044,325.75

Feel free to drop me a message for more details.",SoleMare Parksuites,SoleMare Parksuites,,24 sqm,"₱ 6,000,000","Baclaran, Parañaque",1 bedroom,1 bathroom,,Partly furnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/solemare-parksuites-1/,9 hours ago,Janice S Reyes
paranaque,1,CHATEAU ELYSEE,"A 2-bdrm/1-bath unit on the top 7th floor, well kept and accentuated.",Chateau Elysee,Chateau Elysee,48 sqm,48 sqm,"₱ 3,795,000","Don Bosco, Parañaque",2 bedrooms,1 bathroom,7,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/chateau-elysee/,"1 day, 4 hours ago",Art Balmaceda
paranaque,1,2 BEDROOM CONDO FOR SALE IN OAK HARBOR,"🔴🔵 𝗦𝗔𝗟𝗘 𝗢𝗥 𝗥𝗘𝗡𝗧
2 BEDROOM CONDO IN OAK HARBOR

𝐶𝑂𝑁𝐷𝑂 𝑁𝐴𝑀𝐸: Oak Harbor Residences
𝐴𝐷𝐷𝑅𝐸𝑆𝑆: Jackson Ave., Marina Bay, Asiaworld City, Brgy. Tambo, Paranaque City
𝐷𝐸𝑉𝐸𝐿𝑂𝑃𝐸𝑅: DMCI Homes Exclusive
𝑃𝑅𝑂𝑃𝐸𝑅𝑇𝑌 𝑇𝑌𝑃𝐸: Residential Condominium
𝑂𝐶𝐶𝑈𝑃𝐴𝑁𝐶𝑌 𝑆𝑇𝐴𝑇𝑈𝑆: Ready For Occupancy

𝗣𝗥𝗢𝗣𝗘𝗥𝗧𝗬 𝗗𝗘𝗧𝗔𝗜𝗟𝗦
Floor level= 10th
# of bedrooms = 2
# of bathroom = 2.5
# of parking = 1
Floor area = 97 sqm
Balcony = Yes
Facing = Okada Area
Househelp/Storage Room = Yes
Furnished Status = Semi Furnished

𝗢𝗖𝗖𝗨𝗣𝗔𝗡𝗖𝗬 𝗦𝗧𝗔𝗧𝗨𝗦
Currently Tenanted til August 2025

𝗧𝗜𝗧𝗟𝗘 𝗦𝗧𝗔𝗧𝗨𝗦
Clean Title

𝗦𝗘𝗟𝗟𝗜𝗡𝗚 𝗣𝗥𝗜𝗖𝗘
Php 18,800,000.00 (6% CGT inclusive)

𝗠𝗢𝗗𝗘 𝗢𝗙 𝗣𝗔𝗬𝗠𝗘𝗡𝗧
Cash or Bank Financing

📩 Send us a message today for unit viewing and bank home loan application!

𝑌𝑜𝑢𝑟 𝑛𝑒𝑥𝑡 𝑚𝑜𝑣𝑒 𝑠𝑡𝑎𝑟𝑡𝑠 𝑤𝑖𝑡ℎ 𝑎 𝑚𝑒𝑠𝑠𝑎𝑔𝑒. 
𝐃𝐫𝐨𝐩 𝐮𝐬 𝐚 𝐥𝐢𝐧𝐞 𝐭𝐨𝐝𝐚𝐲!

𝐌𝐒 𝐆𝐑𝐎𝐔𝐏 𝑜𝑓 𝐴𝑔𝑒𝑛𝑡𝑠 𝑎𝑛𝑑 𝐴𝑠𝑠𝑜𝑐𝑖𝑎𝑡𝑒 
by Mana Realty Corporation
📞  𝟎𝟗𝟏𝟓-𝟐𝟕𝟒-𝟗𝟗𝟖𝟒 (viber, whatsapp, telegram) | 📧  𝐦𝐞𝐥𝐯𝐢𝐧𝐬𝐚𝐥𝐯𝐢𝐝𝐚𝐫@𝐠𝐦𝐚𝐢𝐥.𝐜𝐨𝐦

📌 Office Address: Unit 3, 2nd floor, Garza Building, Dansalan Street, Barangay Malamig, Mandaluyong City

#condonearokada #oakharborresidences #dmcihomes #CondoInPasay #condoforsale",,,97 sqm,97 sqm,"₱ 18,800,000","Parañaque, Metro Manila",2 bedrooms,2 bathrooms,10,Partly furnished,Condo,For Sale,,1,Freehold,,2 days ago,Melvin Salvidar by Mana Realty Corporation
paranaque,1,RUSH SALE 3 BEDROOM CONDO FOR SALE IN OAK HARBOR,"🔴🔵 𝗦𝗔𝗟𝗘
3 BEDROOM CONDO IN OAK HARBOR

𝐶𝑂𝑁𝐷𝑂 𝑁𝐴𝑀𝐸: Oak Harbor Residences
𝐴𝐷𝐷𝑅𝐸𝑆𝑆: Jackson Ave., Marina Bay, Asiaworld City, Brgy. Tambo, Paranaque City
𝐷𝐸𝑉𝐸𝐿𝑂𝑃𝐸𝑅: DMCI Homes Exclusive
𝑃𝑅𝑂𝑃𝐸𝑅𝑇𝑌 𝑇𝑌𝑃𝐸: Residential Condominium
𝑂𝐶𝐶𝑈𝑃𝐴𝑁𝐶𝑌 𝑆𝑇𝐴𝑇𝑈𝑆: Ready For Occupancy

𝗣𝗥𝗢𝗣𝗘𝗥𝗧𝗬 𝗗𝗘𝗧𝗔𝗜𝗟𝗦
Floor level= 3rd
# of bedrooms = 3
# of bathroom = 2.5
# of parking = 1
Floor area = 152 sqm
Balcony = Yes
Facing = Okada and Bay Area
Househelp/Storage Room = Yes
Furnished Status = Semi Furnished

𝗢𝗖𝗖𝗨𝗣𝗔𝗡𝗖𝗬 𝗦𝗧𝗔𝗧𝗨𝗦
Currently Tenanted til May 2026

𝗧𝗜𝗧𝗟𝗘 𝗦𝗧𝗔𝗧𝗨𝗦
Clean Title

𝗠𝗢𝗗𝗘 𝗢𝗙 𝗣𝗔𝗬𝗠𝗘𝗡𝗧
Cash or Bank Financing

📩 Send us a message today for unit viewing and bank home loan application!

𝑌𝑜𝑢𝑟 𝑛𝑒𝑥𝑡 𝑚𝑜𝑣𝑒 𝑠𝑡𝑎𝑟𝑡𝑠 𝑤𝑖𝑡ℎ 𝑎 𝑚𝑒𝑠𝑠𝑎𝑔𝑒. 
𝐃𝐫𝐨𝐩 𝐮𝐬 𝐚 𝐥𝐢𝐧𝐞 𝐭𝐨𝐝𝐚𝐲!

𝐌𝐒 𝐆𝐑𝐎𝐔𝐏 𝑜𝑓 𝐴𝑔𝑒𝑛𝑡𝑠 𝑎𝑛𝑑 𝐴𝑠𝑠𝑜𝑐𝑖𝑎𝑡𝑒 
by Mana Realty Corporation
📞  𝟎𝟗𝟏𝟓-𝟐𝟕𝟒-𝟗𝟗𝟖𝟒 (viber, whatsapp, telegram) | 📧  𝐦𝐞𝐥𝐯𝐢𝐧𝐬𝐚𝐥𝐯𝐢𝐝𝐚𝐫@𝐠𝐦𝐚𝐢𝐥.𝐜𝐨𝐦

📌 Office Address: Unit 3, 2nd floor, Garza Building, Dansalan Street, Barangay Malamig, Mandaluyong City

#condonearokada #oakharborresidences #dmcihomes #CondoInPasay #condoforsale",,,152 sqm,152 sqm,"₱ 28,800,000","Parañaque, Metro Manila",3 bedrooms,3 bathrooms,3,Fully furnished,Condo,For Sale,,1,Freehold,,2 days ago,Melvin Salvidar by Mana Realty Corporation
paranaque,1,"For Sale: 2 Bedroom 2BR Condo in Oak Harbor Residences, Paranaque City",,,,,97 sqm,"₱ 19,500,000","Parañaque, Metro Manila",2 bedrooms,3 bathrooms,,,Condo,For Sale,,,,,"3 days, 3 hours ago",Yvette De Asis
paranaque,1,Townhouse for Sale in Sunvalley Paranaque Brandnew  3Storey-MD,"3 storey Townhouse

Selling Price : 12,000,000
Lot Area: 75sqm
Floor Area :212sqm more or less

4 Bedrooms w/ Cabinet 
4 Toilet & Bath
Maids Room w/ Toilet & Bath
2 Car garage
Balcony
Granite Counter top 
kitchen cabinet
4 Burner cook top with hood


Terms of Payment :
100K Reservation 
200% Downpayment
80% Bank Financing",,,,212 sqm,"₱ 12,000,000","Parañaque, Metro Manila",75 bedrooms,3 bathrooms,3,,Loft,For Sale,,2,,,"3 days, 5 hours ago",Maricon Defeo
paranaque,1,KGC002 - 2 BEDROOM CONDO WITH PARKING IN PARANAQUE,"FOR SALE: 2 BEDROOM CONDO WITH PARKING IN PARANAQUE
ADDRESS: MERVILLE, PARANAQUE CITY
DEVELOPER:DMCI
PROPERTY CODE: KGC002

	RAYA GARDEN CONDOMINIUM

HOUSE DETAILS:
 BANDUNG BLDG. B
 FLOOR AREA: 49.50 SQM
 2 BEDROOM
 1 TOILET AND BATH
 DRYING AREA - 7 SQM
 PARKING (ROOF DECK FLOOR LEVEL) - 12.50 SQM

TERMS OF PAYMENT:
 CASH

 SELLING PRICE - 4.5M GROSS",Raya Garden,Raya Garden,,49 sqm,"₱ 4,500,000","Baclaran, Parañaque",2 bedrooms,1 bathroom,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/41032-73-95441a718ed7-98b4-ea4d09e0-81ca-4fe5,"4 days, 4 hours ago",Mana Realty Corporation
paranaque,1,Residential Condominium in Concorde Building Paranaque City For Sale,"one bedroom
clean title
Association dues of 2000",,,,27 sqm,"₱ 2,200,000","Baclaran, Parañaque",,,,,Condo,For Sale,,,Freehold,,"4 days, 8 hours ago",My Hometown Realty and Developer Inc. (DMGS)
paranaque,1,Residential Condominium in Cleveland Tower Paranaque City For Sale,"4 Bedrooms
4 Parking Slots",,,,360 sqm,"₱ 28,000,000","Don Galo, Parañaque",,,,,Condo,For Sale,,,Freehold,,"4 days, 9 hours ago",My Hometown Realty and Developer Inc. (DMGS)
paranaque,1,3BR Condo for sale Asteria Paranaque DMCI Project With parking slot,"DMCI Homes Development, Asteria Residences, San Pedro St., San Antonio Valley, Barangay San Isidro, Sucat, Parañaque City.
Resale/Secondary Sale,
Titled, updated Taxes.

3bedroom Corner Unit 87.5 sqm Vinca Building Facing amenities
with 1 parking slot.
Actual photos posted already.
The Asking Price is 9.5M, inclusive of capital gain tax.

Payment options:
Cash
or 30% down 70% bank loan

or 50% down 50% in 12 months.

For Assistance plse Contact Corz Cascayan",Asteria Residences,Asteria Residences,87 sqm,87 sqm,"₱ 9,500,000","San Isidro, Parañaque",3 bedrooms,2 bathrooms,4,Partly furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/asteria-residences/,"6 days, 11 hours ago",Corz Cascayan
