city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
pasay,1,2 Bedrooms Rent to Own Condo unit For Sale in Bay Area Pasay City near MOA,"🌴 READY FOR MOVE-IN!
🏢 Palm Beach West – Bay Area, Met Park, Macapagal Blvd., Pasay City
💥 Rent-to-Own Promo for as low as ₱43,000/month with LOW CASH OUT!
Looking for a spacious, well-located condo you can move into right away?
🏖️ Palm Beach West is now offering a special Rent-to-Own deal perfect for end-users and smart investors!

🛏️ Available Units:
✔️ 2BR Regular – 38 sqm
✔️ 2BR Corner – 43 sqm
✔️ 2BR Deluxe – 62 sqm
✔️ 3BR Unit – 94 sqm

💡 Why Choose Palm Beach West?
✅ Complete amenities – pool, function rooms, landscaped gardens & more
✅ Gym in every tower
✅ Low-density – only 12 to 15 units per floor
✅ Spacious layouts designed for comfort and function
✅ Strategic location – near Double Dragon Plaza, MOA, GSIS, Senate, PITX, and major roads

🌇 Live just minutes away from the city's lifestyle and business centers — enjoy convenience and luxury in one address!

📍 Visit us at Palm Beach West, Met Park, Macapagal Blvd., Pasay City

📞 Message us now to book a viewing or learn more about the Rent-to-Own Promo!

#PalmBeachWest #RentToOwnCondo #PasayCondo #BayAreaLiving #CondoNearMOA #ReadyForOccupancy #CondoForSale #MetroManilaRealEstate #InvestSmart",Palm Beach West,Palm Beach West,39 sqm,39 sqm,,"Pasay, Metro Manila",2 bedrooms,1 bathroom,,Unfurnished,Condo,Buy & Rent,2023,,,https://www.lamudi.com.ph/projects/palm-beach-west/,1 hour ago,Jonathan Diaz Dimaandal
pasay,1,For Sale 2 Bedroom Condo La Verti Residences Near La Salle University Pasay City,"La Verti Residences Condominium by DMCI Homes along Taft Avenue in Pasay City, also near Manila. Features resort like amenities and a lot of open spaces.

Very near schools and universities such as Arellano and De La Salle, St. Scholastica. A few minutes drive to Makati Central Business District, offices. Good accessibility to major roads and transportation(Taft Avenue, Skyway, LRT, PNR and more.

Amenities: 24 hr. security, 2 large swimming pools, roof deck, fitness center, open lounges and gardens.

34th floor of South tower, 2 bedroom 57sqm with 1 bathroom and balcony overlooking Makati cityscape. 

Selling Price; Php 6,700,000=P117k/sqm

With lease income 27k per month until August 2026.



La Verti Residences 2 bedroom with balcony
2 br condo for sale La Verti Residences
DMCI Homes for sale quality condos
Condo unit for sale in Pasay City
2 br condo unit DMCI
Condo Unit for sale Pasay City",,,57 sqm,57 sqm,"₱ 6,700,000","Pasay, Metro Manila",2 bedrooms,1 bathroom,34,Unfurnished,Condo,For Sale,,,,,2 hours ago,Obet Guzman Jr.
pasay,1,4 Star Hotels for sale,"Hotels for Sale - Manila 

Old Hotel for Renovation
Roxas Blvd Malate Manila 
Lot Area: 4,553 sqm 
6 Storeys, 96 rooms 
Prime tourist location 
Price: Php 4.5 Billion negotiable 

4 Star Hotels for sale
Roxas Blvd Pasay Manila
Lot Area: 4,596 sqm 
19 storey bldg, fully furnished 
308 spacious bedrooms with bath
Adult & kids pool, gym, resto, bar 
Conference hall and facilities 
One level parking
Price: Php 4.5 Billion 

STRICTLY DIRECT BUYERS ONLY. No brokers or agents please. 

More available. Commercial lots and buildings also available in: 

Makati CBD 
Fort BGC 
Aseana Macapagal 
Mauban QC 
Ortigas",,,"4,596 sqm","2,622 sqm","₱ 4,500,000,000","Pasay, Metro Manila",,,,,Condotel,For Sale,,,,,2 hours ago,A-list Properties
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,5 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,5 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,5 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,5 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,5 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,5 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,5 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,6 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,6 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,6 hours ago,Roland Nacion
pasay,1,FOR SALE CONDO ALONG TAFT LRT VITO CRUZ DE LA-SALLE QUANTUM RESIDENCES,,,,21 sqm,21 sqm,"₱ 3,300,000","Pasay, Metro Manila",,1 bathroom,,Unfurnished,Condo,For Sale,,,Freehold,,6 hours ago,Roland Nacion
