city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
pasig,1,"2BR Unit with Balcony & Parking FOR LEASE/SALE in Valencia Hills, Quezon City","📣FOR LEASE/SALE📣

📍Valencia Hills, N. Domingo St, Quezon City

✅Floor Area: 87sqm
✅Bare, 6th floor
✅2 BR & 2T&B
✅Maid's Room with T&B
✅With Cabinets & Laundry Area
✅With Balcony
✅With Parking

🏷Lease Price: 35K
🏷Gross Selling Price: 12M

Betty Ongsiaco Gorospe
RE/MAX Capital
PRC REB Lic. No 0036031",,,87 sqm,87 sqm,,"New Manila, Quezon City",2 bedrooms,2 bathrooms,,Unfurnished,Condo,Buy & Rent,,1,,,3 hours ago,Betty Gorospe
pasig,1,"Brand New Corner 2BR with Balcony & Parking FOR SALE in The Arton North Tower, QC","📣FOR SALE📣

📍The Arton by Rockwell, North Tower, QC

✅ Floor Area: 84 sqm
✅ 18th Floor, Corner 2BR Unit
✅ Brand New, Turnover Condition
✅ 2 Toilet & Bath
✅ Maid’s Room with Toilet & Bath
✅ Utility Room
✅ With Parking
✅ With Balcony – Unobstructed View

🏷 Selling Price: ₱15.8M GROSS (Lowered from ₱17M)

Betty Ongsiaco Gorospe
RE/MAX Capital
PRC REB Lic. No 0036031",The Arton by Rockwell,The Arton by Rockwell,84 sqm,84 sqm,"₱ 15,800,000","Loyola Heights, Quezon City",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/the-arton-by-rockwell/,3 hours ago,Betty Gorospe
pasig,1,"Spacious 3BR Bare Unit with Balcony & Tandem Parking FOR SALE in Valencia Hills, QC","📣FOR SALE 📣

📍Valencia Hills Condominium, Unit 706 Tower C, N. Domingo St., Quezon City

✅ Floor Area: 125 sqm
✅ Bare Unit -  7th Floor
✅ 3 Bedrooms, 2 Toilet & Bath
✅ Maid’s Room with T&B
✅ With Balcony
✅ With Tandem Parking (2 Slots, 2 Titles)

🏷 Selling Price: ₱17M

Betty Ongsiaco Gorospe
RE/MAX Capital
PRC REB Lic. No 0036031",,,125 sqm,125 sqm,"₱ 17,000,000","New Manila, Quezon City",3 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,2,,,3 hours ago,Betty Gorospe
pasig,1,For Sale 1 Bedroom Condo with Parking Eastwood Execlsior Eastwood Avenue Quezon City,"Eastwood Excelsior high rise residential condominium for sale located inside Eastwood Cyberpark, commercial district, very accessible via C5 Service Road and a few minutes drive to Ortigas Center, Cubao Araneta Center and BGC.

Very safe and secured residential / business district. Walking distance to malls, commercial shops, banks, restaurants, cafes, convenience stores, supermarket , drugstore, offices and a chapel.

Amenities: Swimming pool, Gym , Lobby, 24 hour security, Elevator, CCTV.

On the 12th floor of tower 2, 48.00sqm, 2 T&B, 1 utility room, 1 parking slot.

Selling price Php6,300,000 = 104t/sqm

Terms are cash or bank financing.


1 bedroom condo with parkingEastwood City for sale
Eastwood Cyberpark QC for sale
Eastwood Excelsior condo parking for sale
For sale condo unit with parking in Eastwood city
1 Bedroom condo in Brgy. Bagumbayan Quezon City
Eastwood Excelsior 1 bedroom condo with parking
Eastwood City condo sale with parking
Eastwood condos for sale near katipunan",,,48 sqm,48 sqm,"₱ 6,300,000","Eastwood City, Quezon City",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,1,,,9 hours ago,Obet Guzman Jr.
pasig,1,1 Bedroom Condo For Sale in Valencia Hills Tower E,"1-Bedroom Condo For Sale – Valencia Hills Tower E

New Manila, N. Domingo Quezon City
Unit Only – 56.5 SQM

LIMITED TIME PROMO – VALID UNTIL AUGUST 31, 2025! 
• Get ₱600,000 Fit-Out Discount
• Plus 20% DISCOUNT on the Unit Price
FOR CASH PAYMENT TERM!

Just minutes from:
✔️ Walking distance to Robinsons Magnolia
✔️3 mins going to LRT-2 Gilmore Station
✔️ San Juan Greenhills
✔️ Araneta Center, Cubao

LIMITED PROMO VALID UNTIL AUGUST 31, 2025

Choose from 2 flexible payment options:

-----------------------------------------------

OPTION 1
Early Move-In Rent-to-Own

Total Contract Price (TCP): ₱ 10,559,000
5% Promo Discount: ( -527,950 )

Net Price: ₱ 10,031,050

Payment Schedule:
✓Reservation Fee: ₱ 50,000

✓10% Move-in Fee: ₱ 953,105

✓10% Rent to Own in 22 months: ₱ 45,595.68 / mo.

✓80% Balance (Bank/Cash): ₱ 8,024,840
Plus.  Advance Registration Charges 6%

----------------------------------------------


OPTION 2
20% Spot Dp in 1 Month and 80% Bank Loan
with BIGGER DISCOUNT!

Total Contract Price: ₱ 10,559,000
Fit-Out Promo Discount: ( -600,000)
20% Promo Discount: (. -1,991,800 )

Net Price: ₱ 7,967,200

Payment Schedule:

✓Reservation Fee: ₱50,000

✓20% Spot Down Payment: ₱1,543,440

✓80% Balance via Bank Loan: ₱6,373,760
- Plus 6%  Advance Registration Charges

--------------------------------------------

Inquire now for full sample computations, walkthrough videos, or to book an actual site visit!

contact our Property Consultant Today!",Valencia Hills,Valencia Hills,56 sqm,56 sqm,"₱ 7,967,200","New Manila, Quezon City",1 bedroom,2 bathrooms,,Unfurnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/valencia-hills-1/,12 hours ago,Genevieve Pernito
pasig,1,Liv Condominium by Arthaland,"Liv North Condominium, the newest project of  ARTHALAND - the first and only developer in the Philippines with green building, eco-friendly concept.

Overview:

Liv is envisioned as a vertical sustainable community located along Katipunan Avenue in Loyola Heights, Quezon City, providing seamless access to top universities like Ateneo, UP, and Miriam College. 


Sustainability & Design:

Built with green, eco-conscious design principles, Liv aims to minimize energy and water usage, aligning with ARTHALAND’s mission for sustainable living. 

As part of ARTHALAND's porfolio- Liv reflects world-class quality and environmental responsibility. 

Building & Units

Liv North is planned to be 46 stories tall, accommodating 748 residential units.

Unit sizes range from:

Studios: Approx. 24–29 sqm

1-Bedroom: Approx. 40–47 sqm

2-Bedroom: Approx. 68–70 sqm 

Lifestyle & Amenities:

Liv combines thoughtfully designed study areas, wellness zones, and social spaces to foster holistic, balanced living. 

The location’s prime accessibility to schools, malls, cafés, and transport, coupled with its smart, sustainable amenities, makes it highly appealing for students, families, and long-term investors alike. 


Investment Appeal:

Positioned in one of Metro Manila’s key academic hubs, Liv addresses strong rental demand - especially among parents and students - making it an attractive property investment. 

The developer’s sustainable credentials add value retention appeal amid broader condo market fluctuations. 

With a reservation fee of only P50,000.00 and an estimated monthly equity of P37,000.00 you can already secure a unit in this prime condominium location.

Availability includes studio, 1 bedroom and 2 bedroom units, ideal for diverse lifestyles and budgets. 

Sustainability	ARTHALAND-certified eco - friendly living.
Ideal For	Students, families, investors.

If you’d like details on floor plans, pricing per unit type, financing schemes, or developer sustainability certifications, feel free to ask—I’m happy to help!

Your Real Estate Advisor here:
Rebecca Manto
PRC Lic. No. 14714
DHSUD Reg. No. 0358

LIV DHSUD LS NO. 0001183
Address: Katipunan Avenue and Esteban Abada Street, Brgy. Loyola Heights, Quezon City
Completion Date: Q3 2031
Project Owner: ASEC Development and Construction
Developer: Sotern Land Corporation",,,27 sqm,27 sqm,"₱ 8,300,000","Loyola Heights, Quezon City",,1 bathroom,27,Partly furnished,Studio,For Sale,2026,,Freehold,,17 hours ago,Rebecca Manto
pasig,1,One Eastwood  | Studio Condo Unit For Sale- #8985,,One Eastwood Avenue Tower 2,One Eastwood Avenue Tower 2,,30 sqm,"₱ 6,500,000","Pasong Tamo, Quezon City",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/41032-73-a0df0c009664-45ea-99ed1f9c-b005-4082,"1 day, 2 hours ago",Everbright Real Estate
pasig,1,Condominium in Robinsons Magnolia Quezon City For Sale,"•2 Bedrooms
•Parking: PHP 3,000,000.00

Note: Parking sold via Deed of Assignment and not reflected in Deed of Sale",,,,57 sqm,"₱ 13,500,000","Horseshoe, Quezon City",,,,,Condo,For Sale,,,Freehold,,"1 day, 3 hours ago",My Hometown Realty & Developer Inc. (FT)
pasig,1,For Sale Studio Condo Eastwood La Fayette Eastwood Ave. Quezon City,"Eastwood La Fayette 3 is a medium rise residential condominium located in the middle of Eastwood City Cyberpark, very accessible via C5, a few minutes drive to Ortigas Center, Cubao Araneta Center and BGC. Also very close to Katipunan Ave- Ateneo, Miriam College & UP.

Very safe and secured residential / business district. Walking distance to malls, commercial shops, banks, restaurants, cafes, convenience stores, supermarket , drugstore, offices and a chapel.

Low density well maintained building with only 200 units.

36 sqm Studio Unit with partition on the 20th floor.

Unit is facing North. View of Ortigas Center and Acropolis Subdivision .

Improved, newly installed tiles & repainted. Almost move in condition.

Selling Price: Php3,950,000 =P109k/sqm only

Inclusive Capital Gains Tax


Condo unit Eastwood City
Eastwood Cyberpark QC for sale
Eastwood la fayette condo unit for sale
For sale condo unit in Eastwood city
studio condo Quezon City
Eastwood improved condo for sale
Eastwood City condo sale
Studio in eastwood For Sale",,,36 sqm,36 sqm,"₱ 3,950,000","Eastwood City, Quezon City",,1 bathroom,20,Unfurnished,Condo,For Sale,,,,,"1 day, 3 hours ago",Obet Guzman Jr.
pasig,1,STUDIO OREAN RESIDENCE - PRE-SELLING IN VERTIS NORTH,,Orean Place at Vertis North,Orean Place at Vertis North,34 sqm,34 sqm,"₱ 11,171,429","Diliman, Quezon City",1 bedroom,1 bathroom,11,Partly furnished,Condo,For Sale,2032,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-f36c00dcb033-81bc-52423959-8477-4441,"1 day, 3 hours ago",Ayala Land by Eddie Solo
