city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
taguig,1,FOR SALE: 3 BEDROOM CONDO IN ST.MORITZ PRIVATE ESTATE BGC TAGUIG CITY,,St. Moritz Private Estate,St. Moritz Private Estate,115 sqm,115 sqm,"₱ 42,000,000","Taguig, Metro Manila",3 bedrooms,2 bathrooms,7,Fully furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/st-moritz-private-estate/,4 hours ago,Ray Jerico Albano
taguig,1,UNFURNISHED 2BR UNIT WITH PARKING FOR SALE IN WEST GALLERY PLACE,UNFURNISHED 2BR UNIT WITH PARKING FOR SALE IN WEST GALLERY PLACE,,,,91 sqm,"₱ 38,000,000","Fort Bonifacio, Taguig",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,1,,,9 hours ago,HousingInteractive Inc.
taguig,1,1 BEDROOM CONDO FOR SALE IN MCKINLEY FORT BONIFACIO,"🔴 𝗦𝗔𝗟𝗘
1 BEDROOM CONDO IN MCKINLEY FORT BONIFACIO

𝐶𝑂𝑁𝐷𝑂 𝑁𝐴𝑀𝐸: The Venice Luxury Residences
𝐴𝐷𝐷𝑅𝐸𝑆𝑆: Genoa St. and Maple Drive, Mckinley Hill Fort Bonifacio, Taguig City
𝐷𝐸𝑉𝐸𝐿𝑂𝑃𝐸𝑅: Megaworld
𝑃𝑅𝑂𝑃𝐸𝑅𝑇𝑌 𝑇𝑌𝑃𝐸: Residential Condominium
𝑂𝐶𝐶𝑈𝑃𝐴𝑁𝐶𝑌 𝑆𝑇𝐴𝑇𝑈𝑆: Ready To Occupy

𝗣𝗥𝗢𝗣𝗘𝗥𝗧𝗬 𝗗𝗘𝗧𝗔𝗜𝗟𝗦
Floor level= 14th
# of bedrooms = 1
# of bathroom = 1
Balcony = Yes
# of parking = 0
Floor area = 66 sqm
Househelp/Storage Room = 0
Furnished Status = Fully Furnished

𝗢𝗖𝗖𝗨𝗣𝗔𝗡𝗖𝗬 𝗦𝗧𝗔𝗧𝗨𝗦
Vacant

𝗧𝗜𝗧𝗟𝗘 𝗦𝗧𝗔𝗧𝗨𝗦
Clean Title

𝗦𝗘𝗟𝗟𝗜𝗡𝗚 𝗣𝗥𝗜𝗖𝗘
Php 9,800,000.00 (6% CGT inclusive)

𝗠𝗢𝗗𝗘 𝗢𝗙 𝗣𝗔𝗬𝗠𝗘𝗡𝗧
Cash or Bank Financing

📩 Send us a message today for unit viewing and bank home loan application!

𝑌𝑜𝑢𝑟 𝑛𝑒𝑥𝑡 𝑚𝑜𝑣𝑒 𝑠𝑡𝑎𝑟𝑡𝑠 𝑤𝑖𝑡ℎ 𝑎 𝑚𝑒𝑠𝑠𝑎𝑔𝑒. 
𝐃𝐫𝐨𝐩 𝐮𝐬 𝐚 𝐥𝐢𝐧𝐞 𝐭𝐨𝐝𝐚𝐲!

𝐌𝐒 𝐆𝐑𝐎𝐔𝐏 𝑜𝑓 𝐴𝑔𝑒𝑛𝑡𝑠 𝑎𝑛𝑑 𝐴𝑠𝑠𝑜𝑐𝑖𝑎𝑡𝑒 
by Mana Realty Corporation
📞  𝟎𝟗𝟏𝟓-𝟐𝟕𝟒-𝟗𝟗𝟖𝟒 (viber, whatsapp, telegram) | 📧  𝐦𝐞𝐥𝐯𝐢𝐧𝐬𝐚𝐥𝐯𝐢𝐝𝐚𝐫@𝐠𝐦𝐚𝐢𝐥.𝐜𝐨𝐦

📌 Office Address: Unit 3, 2nd floor, Garza Building, Dansalan Street, Barangay Malamig, Mandaluyong City

#condoinmckinleyhill #bgccondo #bgccondoforsale #veniceluxuryresidences #MegaworldCondo",The Venice Luxury Residences,The Venice Luxury Residences,66 sqm,66 sqm,"₱ 9,790,000","McKinley Hill, Taguig",1 bedroom,1 bathroom,14,Partly furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/the-venice-luxury-residences/,11 hours ago,Melvin Salvidar by Mana Realty Corporation
taguig,1,FOR SALE: PENTHOUSE LOCATED AT PARK MCKINLEY WEST,"FOR SALE: PENTHOUSE LOCATED AT PARK MCKINLEY WEST

Floor Area: 212 SQM
East Facing
Balcony outside all rooms
Finished
3 Bedroom
2+ Toilet & Bath
2 Parking Slots (Near the elevator)
Powder Room
Service Quarters

Asking price : ₱75,000,000 Gross ( all in)

ID: JGZ3551
Under PRC 12640",,,,212 sqm,"₱ 75,000,000","Taguig, Metro Manila",3 bedrooms,2 bathrooms,,,Condo,For Sale,,2,,,14 hours ago,Grandeur Realty
taguig,1,"FOR SALE - Unfurnished Condo Unit in Times Square West, BGC, Taguig City","FOR SALE
Times Square West, BGC, Brgy. Fort Bonifacio, Taguig City
Unfurnished Condo Unit
Floor Area: 61 sqm
2 bedrooms with 2 T&B
1 parking slot
Orientation Facing Northeast
Price: P16,000,000 gross

Disclaimer: All property availability and prices are subject to change without prior notice. Although we make every effort to ensure the accuracy of the information provided, we strongly recommend that you verify all details with us directly before making any decisions",,,,61 sqm,"₱ 16,000,000","Fort Bonifacio, Taguig",2 bedrooms,,,,Condo,For Sale,,,,,14 hours ago,Luxe Realty
taguig,1,MCKINLEY HILL TAGUIG AT FLORENCE TOWER 2,"FOR SALE!!!

BONIFACIO GLOBAL CITY UPSCALE  (BGC) MCKINLEY HILL TAGUIG 
LOCATED AT THE FLORENCE  TOWER 2 10th FLOOR MEGAWORLD MCKINLEY HILL GRAND CANAL FORT BONIFACIO PHILIPPINES.

✅94.7 sqm. 
✅BRAND NEW CONDO 
✅3 BED ROOMS 
✅3BATHS 
✅2BALCONIES
✅ W/ MAIDS ROOM,
✅ CORNER WITH GOOD VIEWS 
✅FULLY FURNISHED 
✅WITH AIR CONDITION and HOT WATER INSTALLED
✅29.5M

ENJOY THE LIFE STYLE AND FEELINGS OF BEING IN ITALY IN THE PHILIPPINES. CLOSE TO ALL MALLS, MARKET PLACE WITH FIRST CLASS AMENITIES AND FEATURES; SUCH AS SWIMMING POOL, FITNESS CENTER, CHILDREN’S DAY CARE, PLAY GROUND,GAME ROOM AND BUSINESS CENTER. 
LOCATION HIGHLIGHTS: ST LUKES MEDICAL CENTER, VENETIAN MALL, WELCOME TUSCANY RESTO STRIP, BONIFACIO HIGH STREET, INTERNATIONAL SCHOOL MANILA, JAPANESE, CHINESE AND KOREAN SCHOOL. INTERNATIONAL CUISINE RESTAURANTS, SPORTS BAR, RETAIL SHOPS, JAPANESE EMBASSY, KOREAN EMBASSY, UAE EMBASSY AND QATAR EMBASSY, MIND MUSEUM AND MULTI NATIONAL COMPANIES (COLGATE AND PALMOLIVE, HP, WELLS FARGO, UNITED HEALTH GROUP, THOMSON & REUTERS).
THE FLORENCE IS A LUXURY GATED COMMUNITY DEVELOPMENT; NEARBY MALLS LIKE : THE VENICE GRAND CANAL, VENICE PIAZZA, SM AURA, FORUM SOUTH GLOBAL, MCKINLEY CYBER PARK. 
TRAVEL FREE OF TRAFFIC AND CLOSE TO NAIA AIRPORT, SCHOOL FOR CHILDREN THE CHINESE INTERNATIONAL SCHOOL , THE ABBAS ORCHARD SCHOOL, ENDERUN COLLEGE, THE KOREAN INTERNATIONAL SCHOOL, THE MANILA POLO CLUB, MANILA GOLF CLUB, DASMARINAS VILLAGE, THEATER , GAMING AND CLASS HOSPITALS AND ALSO THE OKADA RESORT AND CASINO.",,,94 sqm,94 sqm,"₱ 29,500,000","McKinley Hill, Taguig",3 bedrooms,3 bathrooms,10,Fully furnished,Condo,For Sale,2016,1,Freehold,,14 hours ago,Ronelyn Piañar
taguig,1,Residential Condominium in Park McKinley West Taguig City For Sale,"1 Bedroom
1 Balcony
1 Toilet and bath
No Parking

Inclusions:
Smart Home Lock and Key Card
Induction Cooktop
Kitchen Rangehood & Cabinets
2 Split-type Aircons
Wardrobe Cabinet
Sink and Faucet by Franke
Ceramic Tile Flooring",,,,38 sqm,"₱ 14,100,000","Taguig, Metro Manila",,,,,Condo,For Sale,,,Freehold,,15 hours ago,My Hometown Realty and Developer Inc. (DMGS)
taguig,1,CONDO UNIT FOR SALE! in VERAWOOD ACACIA ESTATES TAGUIG CITY,"Condo for sale in verawood acacia estates taguig city

•3br unit
•2 toilet and bath 
•1 Parking
•1 Drying Cage
•Located on 2nd floor of peridot bldg
•Facing swimming pool
•Clean title
•Fully Furnished
•Pet friendly
•2 Balconies 
•Floor area: 79.50sqm
•Laundry deck: 7.50 sqm 
•Parking slot : 12.50 sqm
•Complete papers ready to transfer

- Asking: 11M",,,79 sqm,79 sqm,"₱ 11,000,000","Taguig, Metro Manila",3 bedrooms,2 bathrooms,2,Fully furnished,Condo,For Sale,2023,1,Freehold,,16 hours ago,Ronelyn Piañar
taguig,1,1 Bedroom Condo For SALE at McKinley Park Residences BGC,"1 Bedroom Condo For SALE at McKinley Park Residences BGC

PRICE: Php 8,000,000
CLEAN TITLE
Area: 38.48 sqm
Bedroom: 1 (Loft Type)
Bathroom: 1
Parking: NONE
Balcony: NONE

FULLY FURNISHED
- Aircon
- Gas Range
- Exhaust Fan
- TV
- Coffee Maker
- Bed
- Cabinets

Monthly Dues: P3,347.76++ more or less

Monthly income: P23,000 excluding monthly dues at present until February 2026.

Address: 31st Street, BGC, Taguig, Metro Manila

For viewing schedule, please contact:
RANDY DE VERA
Licensed Real Estate Broker
PRC ID No. 0031532
DHSUD ID No. 006991
(0998) 996----- (Viber/WhatsApp/WeChat)
(02) 8726----- (PLDT Landline)",McKinley Park Residences,McKinley Park Residences,38 sqm,38 sqm,"₱ 8,000,000","Fort Bonifacio, Taguig",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,,Freehold,https://www.lamudi.com.ph/projects/mckinley-park-residences/,18 hours ago,Randy de Vera
taguig,1,"2BR at Garden Court Residences – Luxury Condo in Arca South, Taguig","A Rare 2BR Parkside Address at Garden Court Residences, Arca South

Experience the prestige of living in Garden Court Residences, an Ayala Land Premier development at the heart of Arca South, Taguig. Designed to blend modern luxury with nature, this exclusive community offers direct access to expansive green spaces and urban conveniences.

✨ Unit Highlights

Spacious layouts with floor-to-ceiling windows

Premium finishes and world-class design

Park-facing residences that bring nature into your home

Options for 2BR, units (Availability)

🌿 Amenities & Lifestyle

Central garden court at the heart of the development

Swimming pools and fitness gym

Function rooms and social lounges

Landscaped gardens, open spaces, and pocket parks

24/7 security and property management by Ayala Land Premier

📍 Prime Location – Arca South, Taguig

Master-planned estate by Ayala Land

Direct access to Skyway and major thoroughfares

Minutes to BGC, Makati CBD, NAIA, and Parañaque

Walking distance to future lifestyle malls, offices, and transport hubs within Arca South

✅ With its rare integration of luxury residences and nature, Garden Court Residences offers unmatched value for end-users and investors who want to be part of Arca South’s growth story.

📞 For inquiries and availability",,,138 sqm,138 sqm,"₱ 58,926,160","Taguig, Metro Manila",2 bedrooms,,,Partly furnished,Condo,For Sale,,2,Freehold,,18 hours ago,AADL
