REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY, WEBSITE ADDRESS, FAX/TELEPHONE NO.
13 - Nat. Capital Region,Adamson University,Private,Metro Manila,City of Manila,adamson.edu.ph,02-8524-2011 ; 02-8522-5526
13 - Nat. Capital Region,Air Link International Aviation College,Private,Metro Manila,City of Manila,http://www.aliac.edu.ph,(02) 8851-4428 ; (02) 8854-5419
13 - Nat. Capital Region,Alliance Graduate School,Private,Metro Manila,Quezon City,http://www.ags.edu.ph,02-7091-8482 ;
13 - Nat. Capital Region,AMA Computer College-Makati,Private,Metro Manila,City of Makati,,02-884-32-25 ;
13 - Nat. Capital Region,AMA Computer University,Private,Metro Manila,Quezon City,http://www.amaes.edu.ph,(02) 359-0262 ; (02) 359-0262
13 - Nat. Capital Region,Arellano University-Manila,Private,Metro Manila,City of Manila,http://www.arellano.edu.ph,8734-73-71 to 74 ; 8735-3684 - 8735-3215
13 - Nat. Capital Region,Arellano University-Malabon,Private,Metro Manila,City of Malabon,http://www.arellano.edu.ph,
13 - Nat. Capital Region,Arellano University-Pasay,Private,Metro Manila,Pasay City,arellano.edu.ph,(02) 832-55-25/831-8077 ; (02) 834-7487/822-1204
13 - Nat. Capital Region,Arellano University-Pasig,Private,Metro Manila,City of Pasig,http://www.arellano.edu.ph/,(02) 840416-44 ; (02) 8642-1310
13 - Nat. Capital Region,Asia Pacific College,Private,Metro Manila,City of Makati,http://www.apc.edu.ph,(632) 8529232/8530201 ; (632) 8522648
13 - Nat. Capital Region,Asian Institute for Distance Education,Private,Metro Manila,City of Makati,http://www.aide.edu.ph,(02)82770169 ; (02)88130565
13 - Nat. Capital Region,Asian Institute of Journalism and Communication,Private,Metro Manila,City of Manila,http://www.aijc.com.ph,(02) 8743-4321 ;
13 - Nat. Capital Region,Asian Institute of Management,Private,Metro Manila,City of Makati,http://www.aim.edu,02-88924011 ;
13 - Nat. Capital Region,Asian Institute of Maritime Studies,Private,Metro Manila,Pasay City,http://www.aims.edu.ph,(02) 832-24-67 ; (02) 551-51-57
13 - Nat. Capital Region,Asian Social Institute,Private,Metro Manila,City of Manila,http://www.asinet-online.org,(632) 523-3483 ;
13 - Nat. Capital Region,Asian Theological Seminary,Private,Metro Manila,Quezon City,http://www.ats.ph,(632) 9286717; 9285105; 9230669 ; (632) 9285114
13 - Nat. Capital Region,Assumption College,Private,Metro Manila,City of Makati,http://www.assumption.edu.ph,(02) 817-0757 ; (02) 893-0427
13 - Nat. Capital Region,Ateneo de Manila University-Quezon City,Private,Metro Manila,Quezon City,http://www.ateneo.edu,(632) 8426 6001 ; (632) 8426-6079
13 - Nat. Capital Region,Ateneo De Manila University School of Medicine and Public Health,Private,Metro Manila,City of Pasig,http://www.ateneo.edu/aps/asmph,63300000000 ; 63300000000
13 - Nat. Capital Region,Ateneo de Manila University Graduate School of Business,Private,Metro Manila,City of Makati,http://www.ateneo.edu,(02)88997691 ; (02)88995548
13 - Nat. Capital Region,Bernardo College,Private,Metro Manila,City of Las Piñas,bernardocollege.edu.ph,(02) 8872-6204 or 8873-3330 ; (02) 8872-1129
13 - Nat. Capital Region,Biblical Seminary of the Philippines,Private,Metro Manila,City of Valenzuela,http://www.bsop.edu.ph,632-8292-6795; 8292-6798 ; 632-8292-6675
13 - Nat. Capital Region,CAP College Foundation,Private,Metro Manila,City of Makati,http://www.capcollege.com.ph,(632) 8812-6923 ; (623) 7759-2155
13 - Nat. Capital Region,University of Asia and the Pacific,Private,Metro Manila,City of Pasig,http://www.uap.asia,(02) 637-0912 loc 226 322 406 ; (02) 631-2174
13 - Nat. Capital Region,Central Colleges of the Philippines,Private,Metro Manila,Quezon City,http://www.ccp.edu.ph,027155770 loc. 110 to 147 ; 027138454 / 027150846
13 - Nat. Capital Region,Centro Escolar University-Manila,Private,Metro Manila,City of Manila,http://www.ceu.edu.ph,(02) 8735-68-61 to 69 ; (02) 8735-59-91
13 - Nat. Capital Region,Chiang Kai Shek College,Private,Metro Manila,City of Manila,http://www.college.cksc.edu.ph,(02) 7777-2572 ;
13 - Nat. Capital Region,Chinese General Hospital Colleges,Private,Metro Manila,City of Manila,http://www.cghc.edu.ph,(02) 8711-0075 (02) 8711-4141 Local 601 (02) 8743-8941 ; (02) 8711-0075
13 - Nat. Capital Region,Saint Anthony Mary Claret College,Private,Metro Manila,Quezon City,http://www.icla.org.ph,(02)8932-0343 - 44 (02) 8997-0593 ; (02)8932-0346
13 - Nat. Capital Region,Colegio de San Juan de Letran,Private,Metro Manila,City of Manila,https://letran.edu.ph,02-85277693 to 97 ; 02-82514179
13 - Nat. Capital Region,Concordia College,Private,Metro Manila,City of Manila,http://www.laconcordia.edu.ph,(02) 8518-2397/98 ; (02) 8563-4352
13 - Nat. Capital Region,De La Salle University-Manila,Private,Metro Manila,City of Manila,http://www.dlsu.edu.ph,(632) 85244611 ; (632) 8521-9094 (632) 8523-4152
13 - Nat. Capital Region,De Ocampo Memorial College,Private,Metro Manila,City of Manila,deocampomemorialcollege.ph,02-7156445 ;
13 - Nat. Capital Region,Divine Word Mission Seminary,Private,Metro Manila,Quezon City,https://sites.google.com/dwms.ph.education/dwms/home,(02)726-50-02 ; (02)726-50-02
13 - Nat. Capital Region,De La Salle-College of Saint Benilde,Private,Metro Manila,City of Manila,http://www.benilde.edu.ph/,(02) 8230-5100 ;
13 - Nat. Capital Region,Dominican College,Private,Metro Manila,City of San Juan,http://www.dominican.edu.ph,(02) 8724-5406 TO 08 ; (02) 8952-4770
13 - Nat. Capital Region,Don Bosco Technical College,Private,Metro Manila,City of Mandaluyong,dbmanda.one-bosco.org,(02) 8531-8081 ;
13 - Nat. Capital Region,Dr. Carlos S. Lanting College,Private,Metro Manila,Quezon City,https://dclc.edu.ph,(02) 8938-7782 / (02) 88930-5299 ; (02) 8938-7782
13 - Nat. Capital Region,Emilio Aguinaldo College,Private,Metro Manila,City of Manila,http://www.eac.edu.ph,(02) 8521-2710 ;
13 - Nat. Capital Region,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",SUC,Metro Manila,City of Manila,earist.edu.ph,02-2439437 ; 02-2439437
13 - Nat. Capital Region,Far Eastern University,Private,Metro Manila,City of Manila,http://www.feu.edu.ph,(02) 7777338 ; (02) 7760038
13 - Nat. Capital Region,FEATI University,Private,Metro Manila,City of Manila,http://www.featiu.edu.ph,(+63) 966 463 5882 to 85 ;
13 - Nat. Capital Region,Febias College of Bible,Private,Metro Manila,City of Valenzuela,http://www.febias.edu.ph,02 82918029 ;
13 - Nat. Capital Region,FEU-FERN College,Private,Metro Manila,Quezon City,http://www.feudiliman.edu.ph,(632) 09064076850 ;
13 - Nat. Capital Region,FEU-Dr. Nicanor Reyes Medical Foundation,Private,Metro Manila,Quezon City,http://www.feu-nrmf.ph,(02) 3427-0213 ; (02) 427-5624
13 - Nat. Capital Region,Governor Andres Pascual College,Private,Metro Manila,City of Navotas,,(02) 282-9036 ; (02) 282-9035
13 - Nat. Capital Region,Greenville College,Private,Metro Manila,City of Pasig,greenvillecollege.edu.ph,02- 8682-3712 ;
13 - Nat. Capital Region,De La Salle-Araneta University,Private,Metro Manila,City of Malabon,http://www.dlsau.edu.ph,02 8330-91-28 to 31 ; 361-9054
13 - Nat. Capital Region,Holy Rosary College Foundation,Private,Metro Manila,City of Caloocan,,6620354 ;
13 - Nat. Capital Region,Institute of Community and Family Health,Private,Metro Manila,Quezon City,http://www.icfhi.com,284000000 ; 284000000
13 - Nat. Capital Region,Institute of Formation and Religious Studies,Private,Metro Manila,City of Manila,http://www.ifrs.com.ph,(02) 8724-7173/721-9932 ; (02) 8724-7173 721-9932
13 - Nat. Capital Region,Interface Computer College-Manila,Private,Metro Manila,City of Manila,http://www.interface.edu.ph,(02)736-3912 ;
13 - Nat. Capital Region,International Baptist College,Private,Metro Manila,City of Mandaluyong,ibcs.edu.ph,285000000 ;
13 - Nat. Capital Region,International Graduate School of Leadership,Private,Metro Manila,Quezon City,http://www.igsl.asia,(02) 8 984 - 1210 and 1217 & (02) 7 717-1755 ;
