REGION,INSTITUTION_NAME,INSTITUTION_TYPE,PROVINCE,MUNICIPALITY_CITY,FULL_ADDRESS
13 - Nat. Capital Region,Adamson University,Private,Metro Manila,Manila,"Adamson University, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Air Link International Aviation College,Private,Metro Manila,Manila,"Air Link International Aviation College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Alliance Graduate School,Private,Metro Manila,Quezon City,"Alliance Graduate School, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,AMA Computer College-Makati,Private,Metro Manila,Makati,"AMA Computer College-Makati, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,AMA Computer University,Private,Metro Manila,Quezon City,"AMA Computer University, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Arellano University-Manila,Private,Metro Manila,Manila,"Arellano University-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Arellano University-Malabon,Private,Metro Manila,Malabon,"Arellano University-Malabon, Malabon, Metro Manila, Philippines"
13 - Nat. Capital Region,Arellano University-Pasay,Private,Metro Manila,Pasay,"Arellano University-Pasay, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,Arellano University-Pasig,Private,Metro Manila,Pasig,"Arellano University-Pasig, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,Asia Pacific College,Private,Metro Manila,Makati,"Asia Pacific College, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Asian Institute for Distance Education,Private,Metro Manila,Makati,"Asian Institute for Distance Education, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Asian Institute of Journalism and Communication,Private,Metro Manila,Manila,"Asian Institute of Journalism and Communication, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Asian Institute of Management,Private,Metro Manila,Makati,"Asian Institute of Management, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Asian Institute of Maritime Studies,Private,Metro Manila,Pasay,"Asian Institute of Maritime Studies, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,Asian Social Institute,Private,Metro Manila,Manila,"Asian Social Institute, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Asian Theological Seminary,Private,Metro Manila,Quezon City,"Asian Theological Seminary, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Assumption College,Private,Metro Manila,Makati,"Assumption College, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Ateneo de Manila University-Quezon City,Private,Metro Manila,Quezon City,"Ateneo de Manila University-Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Ateneo De Manila University School of Medicine and Public Health,Private,Metro Manila,Pasig,"Ateneo De Manila University School of Medicine and Public Health, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,Ateneo de Manila University Graduate School of Business,Private,Metro Manila,Makati,"Ateneo de Manila University Graduate School of Business, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Bernardo College,Private,Metro Manila,Las Piñas,"Bernardo College, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Biblical Seminary of the Philippines,Private,Metro Manila,Valenzuela,"Biblical Seminary of the Philippines, Valenzuela, Metro Manila, Philippines"
13 - Nat. Capital Region,CAP College Foundation,Private,Metro Manila,Makati,"CAP College Foundation, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,University of Asia and the Pacific,Private,Metro Manila,Pasig,"University of Asia and the Pacific, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,Central Colleges of the Philippines,Private,Metro Manila,Quezon City,"Central Colleges of the Philippines, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Centro Escolar University-Manila,Private,Metro Manila,Manila,"Centro Escolar University-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Chiang Kai Shek College,Private,Metro Manila,Manila,"Chiang Kai Shek College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Chinese General Hospital Colleges,Private,Metro Manila,Manila,"Chinese General Hospital Colleges, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Saint Anthony Mary Claret College,Private,Metro Manila,Quezon City,"Saint Anthony Mary Claret College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Colegio de San Juan de Letran,Private,Metro Manila,Manila,"Colegio de San Juan de Letran, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Concordia College,Private,Metro Manila,Manila,"Concordia College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,De La Salle University-Manila,Private,Metro Manila,Manila,"De La Salle University-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,De Ocampo Memorial College,Private,Metro Manila,Manila,"De Ocampo Memorial College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Divine Word Mission Seminary,Private,Metro Manila,Quezon City,"Divine Word Mission Seminary, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,De La Salle-College of Saint Benilde,Private,Metro Manila,Manila,"De La Salle-College of Saint Benilde, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Dominican College,Private,Metro Manila,San Juan,"Dominican College, San Juan, Metro Manila, Philippines"
13 - Nat. Capital Region,Don Bosco Technical College,Private,Metro Manila,Mandaluyong,"Don Bosco Technical College, Mandaluyong, Metro Manila, Philippines"
13 - Nat. Capital Region,Dr. Carlos S. Lanting College,Private,Metro Manila,Quezon City,"Dr. Carlos S. Lanting College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Emilio Aguinaldo College,Private,Metro Manila,Manila,"Emilio Aguinaldo College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",SUC,Metro Manila,Manila,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Far Eastern University,Private,Metro Manila,Manila,"Far Eastern University, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,FEATI University,Private,Metro Manila,Manila,"FEATI University, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Febias College of Bible,Private,Metro Manila,Valenzuela,"Febias College of Bible, Valenzuela, Metro Manila, Philippines"
13 - Nat. Capital Region,FEU-FERN College,Private,Metro Manila,Quezon City,"FEU-FERN College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,FEU-Dr. Nicanor Reyes Medical Foundation,Private,Metro Manila,Quezon City,"FEU-Dr. Nicanor Reyes Medical Foundation, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Governor Andres Pascual College,Private,Metro Manila,Navotas,"Governor Andres Pascual College, Navotas, Metro Manila, Philippines"
13 - Nat. Capital Region,Greenville College,Private,Metro Manila,Pasig,"Greenville College, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,De La Salle-Araneta University,Private,Metro Manila,Malabon,"De La Salle-Araneta University, Malabon, Metro Manila, Philippines"
13 - Nat. Capital Region,Holy Rosary College Foundation,Private,Metro Manila,Caloocan,"Holy Rosary College Foundation, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Institute of Community and Family Health,Private,Metro Manila,Quezon City,"Institute of Community and Family Health, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Institute of Formation and Religious Studies,Private,Metro Manila,Manila,"Institute of Formation and Religious Studies, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Interface Computer College-Manila,Private,Metro Manila,Manila,"Interface Computer College-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,International Baptist College,Private,Metro Manila,Mandaluyong,"International Baptist College, Mandaluyong, Metro Manila, Philippines"
13 - Nat. Capital Region,International Graduate School of Leadership,Private,Metro Manila,Quezon City,"International Graduate School of Leadership, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Jose Rizal University,Private,Metro Manila,Mandaluyong,"Jose Rizal University, Mandaluyong, Metro Manila, Philippines"
13 - Nat. Capital Region,University of Caloocan City,LUC,Metro Manila,Caloocan,"University of Caloocan City, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,La Consolacion College-Manila,Private,Metro Manila,Manila,"La Consolacion College-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,La Consolacion College-Caloocan,Private,Metro Manila,Caloocan,"La Consolacion College-Caloocan, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Lacson College,Private,Metro Manila,Pasay,"Lacson College, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,Centro Escolar Las Piñas,Private,Metro Manila,Las Piñas,"Centro Escolar Las Piñas, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Regis Marie College,Private,Metro Manila,Parañaque,"Regis Marie College, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,Lyceum of the Philippines University,Private,Metro Manila,Manila,"Lyceum of the Philippines University, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,City of Malabon University,LUC,Metro Manila,Malabon,"City of Malabon University, Malabon, Metro Manila, Philippines"
13 - Nat. Capital Region,Manila Central University,Private,Metro Manila,Caloocan,"Manila Central University, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Manila Tytana Colleges,Private,Metro Manila,Pasay,"Manila Tytana Colleges, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,Manila Law College,Private,Metro Manila,,
13 - Nat. Capital Region,Manila Adventist College,Private,Metro Manila,Pasay,"Manila Adventist College, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,Manila Theological College,Private,Metro Manila,Manila,"Manila Theological College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Manuel L. Quezon University,Private,Metro Manila,Quezon City,"Manuel L. Quezon University, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Mapua University-Manila,Private,Metro Manila,Manila,"Mapua University-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Mapua University-Makati,Private,Metro Manila,Makati,"Mapua University-Makati, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Marikina Polytechnic College,SUC,Metro Manila,Marikina,"Marikina Polytechnic College, Marikina, Metro Manila, Philippines"
13 - Nat. Capital Region,Martinez Memorial College,Private,Metro Manila,Caloocan,"Martinez Memorial College, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Mary Chiles College,Private,Metro Manila,Manila,"Mary Chiles College, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,CICM Maryhill School of Theology,Private,Metro Manila,Quezon City,"CICM Maryhill School of Theology, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Metro Business College-Pasay,Private,Metro Manila,Pasay,"Metro Business College-Pasay, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,Metro Manila College,Private,Metro Manila,Quezon City,"Metro Manila College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Metropolitan Medical Center College of Arts Science and Technology,Private,Metro Manila,Manila,"Metropolitan Medical Center College of Arts Science and Technology, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Miriam College,Private,Metro Manila,Quezon City,"Miriam College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Mother of Life Center,Private,Metro Manila,Quezon City,"Mother of Life Center, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Muntinlupa,LUC,Metro Manila,Muntinlupa,"Pamantasan ng Lungsod ng Muntinlupa, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,NAMEI Polytechnic Institute,Private,Metro Manila,Manila,"NAMEI Polytechnic Institute, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,National College of Business and Arts-Cubao,Private,Metro Manila,Quezon City,"National College of Business and Arts-Cubao, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,National College of Business and Arts-Fairview,Private,Metro Manila,Quezon City,"National College of Business and Arts-Fairview, Quezon City, Metro Manila, Philippines"
