hospital,beds,category,street,city,sec,full_address
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER - QUEZON CITY, INC.",100,LEVEL 2,"NO. 20 SEMINARY ROAD, BAHAY TORO,
PROJECT 8",QUEZON CITY,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER - QUEZON CITY, INC., NO. 20 SEMINARY ROAD, BAHAY TORO,
PROJECT 8, QUEZON CITY"
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,300,LEVEL 3,"SUMULONG HIWAY, BRGY. STO. NIÑO,",MARIKINA CITY,G,"AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER, SUMULONG HIWAY, BRGY. STO. NIÑO,, MARIKINA CITY"
BERNARDINO GENERAL HOSPITAL I,80,LEVEL 2,"680 QUIRINO HIGHWAY, SAN
BARTOLOME, NOVALICHES,",QUEZON CITY,P,"BERNARDINO GENERAL HOSPITAL I, 680 QUIRINO HIGHWAY, SAN
BARTOLOME, NOVALICHES,, QUEZON CITY"
BERNARDINO GENERAL HOSPITAL II,35,LEVEL 1,"B1 L2 NORTH OLYMPUS SUBD., ZABARTE ROAD, BRGY. KALIGAYAHAN,
NOVALICHES,",QUEZON CITY,P,"BERNARDINO GENERAL HOSPITAL II, B1 L2 NORTH OLYMPUS SUBD., ZABARTE ROAD, BRGY. KALIGAYAHAN,
NOVALICHES,, QUEZON CITY"
"CABARLES MATERNITY (LYING-IN), MEDICAL AND CHILDREN'S CLINIC",9,INF/DISP,"2 HEAVENLY DRIVE, CORNER SUSANO ROAD, SAN AGUSTIN, NOVALICHES",QUEZON CITY,P,"CABARLES MATERNITY (LYING-IN), MEDICAL AND CHILDREN'S CLINIC, 2 HEAVENLY DRIVE, CORNER SUSANO ROAD, SAN AGUSTIN, NOVALICHES, QUEZON CITY"
"CAMP GENERAL EMILIO AGUINALDO STATION
HOSPITAL",25,INF/DISP,"CAMP GEN. EMILIO AGUINALDO,
MURPHY,",QUEZON CITY,G,"CAMP GENERAL EMILIO AGUINALDO STATION
HOSPITAL, CAMP GEN. EMILIO AGUINALDO,
MURPHY,, QUEZON CITY"
"CAPITOL MEDICAL CENTER, INC.",200,LEVEL 3,"QUEZON AVE. COR. SCT. MAGBANUA, BRGY. PALIGSAHAN,",QUEZON CITY,P,"CAPITOL MEDICAL CENTER, INC., QUEZON AVE. COR. SCT. MAGBANUA, BRGY. PALIGSAHAN,, QUEZON CITY"
CARDINAL SANTOS MEDICAL CENTER,297,LEVEL 3,"10 WILSON ST., GREENHILLS,",SAN JUAN,P,"CARDINAL SANTOS MEDICAL CENTER, 10 WILSON ST., GREENHILLS,, SAN JUAN"
COMMONWEALTH HOSPITAL AND MEDICAL CENTER,148,LEVEL 2,"LOT 3 & 4, BLK 3, NEOPOLITAN BUSINESS PARK, BRGY. GREATER
LAGRO, NOVALICHES,",QUEZON CITY,P,"COMMONWEALTH HOSPITAL AND MEDICAL CENTER, LOT 3 & 4, BLK 3, NEOPOLITAN BUSINESS PARK, BRGY. GREATER
LAGRO, NOVALICHES,, QUEZON CITY"
"CRUZ-DALIDA  HOSPITAL, INC.",8,INF/DISP,"1025 F. SALVADOR AVE., JORDAN PLAINS SUBD., BRGY. STA. MONICA,
NOVALICHES,",QUEZON CITY,P,"CRUZ-DALIDA  HOSPITAL, INC., 1025 F. SALVADOR AVE., JORDAN PLAINS SUBD., BRGY. STA. MONICA,
NOVALICHES,, QUEZON CITY"
DE LOS SANTOS MEDICAL CENTER,150,LEVEL 3,"201 E. RODRIGUEZ SR. BLVD.,",QUEZON CITY,P,"DE LOS SANTOS MEDICAL CENTER, 201 E. RODRIGUEZ SR. BLVD.,, QUEZON CITY"
"DILIMAN DOCTORS HOSPITAL, INC.",130,LEVEL 2,"251 COMMONWEALTH AVENUE,
MATANDANG BALARA,",QUEZON CITY,P,"DILIMAN DOCTORS HOSPITAL, INC., 251 COMMONWEALTH AVENUE,
MATANDANG BALARA,, QUEZON CITY"
DR. FE DEL MUNDO MEDICAL CENTER,25,LEVEL 2,"11 BANAWE ST., BRGY. DOÑA JOSEFA,",QUEZON CITY,P,"DR. FE DEL MUNDO MEDICAL CENTER, 11 BANAWE ST., BRGY. DOÑA JOSEFA,, QUEZON CITY"
DR. JESUS C. DELGADO MEMORIAL HOSPITAL,65,LEVEL 2,"7 KAMUNING ROAD,",QUEZON CITY,P,"DR. JESUS C. DELGADO MEMORIAL HOSPITAL, 7 KAMUNING ROAD,, QUEZON CITY"
"DR. MONTANO G. RAMOS GENERAL
HOSPITAL CORPORATION",25,LEVEL 1,"46 BUKIDNON ST., BAGO BANTAY,",QUEZON CITY,P,"DR. MONTANO G. RAMOS GENERAL
HOSPITAL CORPORATION, 46 BUKIDNON ST., BAGO BANTAY,, QUEZON CITY"
EAST AVENUE MEDICAL CENTER,1000,LEVEL 3,"EAST AVENUE, DILIMAN,",QUEZON CITY,G,"EAST AVENUE MEDICAL CENTER, EAST AVENUE, DILIMAN,, QUEZON CITY"
"F.Y. MANALO MEDICAL FOUNDATION, INC.",100,LEVEL 2,"COMMONWEALTH AVE., COR. TANDANG SORA AVE.,",QUEZON CITY,P,"F.Y. MANALO MEDICAL FOUNDATION, INC., COMMONWEALTH AVE., COR. TANDANG SORA AVE.,, QUEZON CITY"
"FAIRVIEW GENERAL HOSPITAL, INC.",30,LEVEL 1,"LOT 20 COR. MERCURY ST., FAIRVIEW,",QUEZON CITY,P,"FAIRVIEW GENERAL HOSPITAL, INC., LOT 20 COR. MERCURY ST., FAIRVIEW,, QUEZON CITY"
"FEU-DR. NICANOR REYES MEDICAL
FOUNDATION, INC.",300,LEVEL 3,"REGALADO AVENUE COR. DAHLIA,
WEST FAIRVIEW,",QUEZON CITY,P,"FEU-DR. NICANOR REYES MEDICAL
FOUNDATION, INC., REGALADO AVENUE COR. DAHLIA,
WEST FAIRVIEW,, QUEZON CITY"
GARCIA GENERAL HOSPITAL,24,LEVEL 1,"49 BAYAN-BAYANAN AVE., MARIKINA HEIGHTS, CONCEPCION,",MARIKINA CITY,P,"GARCIA GENERAL HOSPITAL, 49 BAYAN-BAYANAN AVE., MARIKINA HEIGHTS, CONCEPCION,, MARIKINA CITY"
"GEN. MIGUEL MALVAR MEDICAL RESEARCH
FOUNDATION, INC.",46,LEVEL 1,"531 COMMONWEALTH AVENUE,",QUEZON CITY,P,"GEN. MIGUEL MALVAR MEDICAL RESEARCH
FOUNDATION, INC., 531 COMMONWEALTH AVENUE,, QUEZON CITY"
LUNG CENTER OF THE PHILIPPINES,237,LEVEL 3,"QUEZON AVENUE,",QUEZON CITY,G,"LUNG CENTER OF THE PHILIPPINES, QUEZON AVENUE,, QUEZON CITY"
"MARIKINA ST. VINCENT GENERAL HOSPITAL,
INC.",90,LEVEL 2,"35 BAYAN-BAYANAN AVENUE,
CONCEPCION UNO,",MARIKINA CITY,P,"MARIKINA ST. VINCENT GENERAL HOSPITAL,
INC., 35 BAYAN-BAYANAN AVENUE,
CONCEPCION UNO,, MARIKINA CITY"
MARIKINA VALLEY MEDICAL CENTER,151,LEVEL 2,"SUMULONG HIGHWAY COR.
AGUINALDO ST., BRGY. STO. NIÑO,",MARIKINA CITY,P,"MARIKINA VALLEY MEDICAL CENTER, SUMULONG HIGHWAY COR.
AGUINALDO ST., BRGY. STO. NIÑO,, MARIKINA CITY"
