line,station,station_name,address,full_address
MRT-3,North Avenue,MRT-3 North Avenue Station,"North Avenue, Quezon City, Metro Manila","MRT-3 North Avenue Station, North Avenue, Quezon City, Metro Manila"
MRT-3,Quezon Avenue,MRT-3 Quezon Avenue (South Bound) Station,"1103 Epifanio de los Santos Ave, Diliman, Quezon City, 1105 Metro Manila","MRT-3 Quezon Avenue (South Bound) Station, 1103 Epifanio de los Santos Ave, Diliman, Quezon City, 1105 Metro Manila"
MRT-3,GMA–Kamuning,MRT-3 Kamuning Station,"32 Samar Ave, Diliman, Quezon City, 1103 Metro Manila","MRT-3 Kamuning Station, 32 Samar Ave, Diliman, Quezon City, 1103 Metro Manila"
MRT-3,Araneta Center–Cubao,MRT-3 Araneta Center - Cubao Station,"Epifanio de los Santos Ave, Cubao, Quezon City, 1109 Metro Manila","MRT-3 Araneta Center - Cubao Station, Epifanio de los Santos Ave, Cubao, Quezon City, 1109 Metro Manila"
MRT-3,Santolan–Annapolis,Santolan-annapolis,"Epifanio de los Santos Ave, San Juan City, 1502 Metro Manila","Santolan-annapolis, Epifanio de los Santos Ave, San Juan City, 1502 Metro Manila"
MRT-3,Ortigas,MRT-3 Ortigas Station,"Ortigas, Mandaluyong City, Metro Manila","MRT-3 Ortigas Station, Ortigas, Mandaluyong City, Metro Manila"
MRT-3,Shaw Boulevard,MRT-3 Shaw Boulevard Station,"Shaw Boulevard, Mandaluyong City, Metro Manila","MRT-3 Shaw Boulevard Station, Shaw Boulevard, Mandaluyong City, Metro Manila"
MRT-3,Guadalupe,MRT-3 Guadalupe Footbridge,"H29W+28J, Guijo, Makati, Kalakhang Maynila","MRT-3 Guadalupe Footbridge, H29W+28J, Guijo, Makati, Kalakhang Maynila"
MRT-3,Gil Puyat,Buendia MRT,"Makati City, Metro Manila","Buendia MRT, Makati City, Metro Manila"
MRT-3,Ayala,MRT-3 Ayala Avenue Station,"McKinley Rd, Makati City, Metro Manila","MRT-3 Ayala Avenue Station, McKinley Rd, Makati City, Metro Manila"
MRT-3,Magallanes,MRT-3 Magallanes Station,"Epifanio de los Santos Ave, Makati City, Metro Manila","MRT-3 Magallanes Station, Epifanio de los Santos Ave, Makati City, Metro Manila"
