project_name,location_x,location_map,location_y,location_match
100 West,,,"Pio Del Pilar, Makati",False
100 West Makati,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",,True
1001 Parkway Residences,,,"Muntinlupa, Metro Manila",False
101 Newport BLVD,"Manila, Metro Manila","Barangay 183, Pasay, Metro Manila",,False
101 Xavierville,,,"Loyola Heights, Quezon City",False
110 Benavidez,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",,True
115 Upper Mckinley,"Taguig, Metro Manila","Forbes Park North, Makati, Metro Manila","South Forbes, Makati",False
12 Luxury Flats,"San Juan, Metro Manila","Little Baguio, San Juan, Metro Manila",,True
1322 Golden Empire Tower,"Manila, Metro Manila","Ermita, Manila, Metro Manila","Ermita, Manila",True
150 Newport BLVD,"Pasay, Metro Manila","Barangay 183, Pasay, Metro Manila",,True
205 Santolan by Rockwell,,,"Valencia, Quezon City",False
2Torre Lorenzo,,,"Malate, Manila",False
329 Armstrong,"Parañaque, Metro Manila","Barangay 76, Pasay, Metro Manila",,False
3Torre Lorenzo,"Manila, Metro Manila","Malate, Manila, Metro Manila","Malate, Manila",True
53 Benitez,,,"Cubao, Quezon City",False
53 Benitez,,,"New Manila, Quezon City",False
53 Benitez,,,"Mariana, Quezon City",False
53 Benitez,,,"Horseshoe, Quezon City",False
53 Benitez,,,"Kaunlaran, Quezon City",False
55 Kalayaan Suites,,,"Quezon Avenue, Quezon City",False
8 ADRIATICO,"Manila, Metro Manila","Malate, Manila, Metro Manila","Malate, Manila",True
8 ADRIATICO,"Manila, Metro Manila","Malate, Manila, Metro Manila","Ermita, Manila",True
8 Benitez Suites,,,"Horseshoe, Quezon City",False
8 Benitez Suites,,,"Kaunlaran, Quezon City",False
8 Forbestown Centre,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",,True
8 Forbestown Road,,,"Fort Bonifacio, Taguig",False
8 Wack Wack Road,,,"Wack-Wack Greenhills, Mandaluyong",False
81 Newport BLVD,"Pasay, Metro Manila","Barangay 183, Pasay, Metro Manila","Newport City, Pasay",True
81 Newport Boulevard,,,"Newport City, Pasay",False
81 Xavier Residences,,,"Greenhills, San Juan",False
878 España,,,"Sampaloc, Manila",False
ADB Avenue Tower,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",,True
ADRIATICO RESIDENCES,"Manila, Metro Manila","Quiapo, Manila, Metro Manila",,True
ALPHA SALCEDO,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila","Bel-Air, Makati",True
AMA TOWER RESIDENCES,"Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong, Metro Manila",,True
