project_name,location
100 West,"Pio Del Pilar, Makati, Metro Manila"
100 West Makati,"Pio Del Pilar, Makati, Metro Manila"
1001 Parkway Residences,"Muntinlupa, Metro Manila"
101 Newport BLVD,"Pasay, Metro Manila"
101 Xavierville,"Loyola Heights, Quezon City, Metro Manila"
110 Benavidez,"San Lorenzo, Makati, Metro Manila"
115 Upper Mckinley,"Taguig, Metro Manila"
12 Luxury Flats,"Little Baguio, San Juan, Metro Manila"
1322 Golden Empire Tower,"Ermita, Manila, Metro Manila"
150 Newport BLVD,"Barangay 183, Pasay, Metro Manila"
205 Santolan by Rockwell,"Valencia, Quezon City, Metro Manila"
2Torre Lorenzo,"Malate, Manila, Metro Manila"
329 Armstrong,"Parañaque, Metro Manila"
3Torre Lorenzo,"Malate, Manila, Metro Manila"
53 Benitez,"Cubao, Quezon City, Metro Manila"
55 Kalayaan Suites,"Quezon Avenue, Quezon City, Metro Manila"
8 ADRIATICO,"Malate, Manila, Metro Manila"
8 Benitez Suites,"Horseshoe, Quezon City, Metro Manila"
8 Forbestown Centre,"BGC, Taguig, Metro Manila"
8 Forbestown Road,"Fort Bonifacio, Taguig, Metro Manila"
8 Wack Wack Road,"Wack-Wack Greenhills, Mandaluyong, Metro Manila"
81 Newport BLVD,"Barangay 183, Pasay, Metro Manila"
81 Newport Boulevard,"Newport City, Pasay, Metro Manila"
81 Xavier Residences,"Greenhills, San Juan, Metro Manila"
878 España,"Sampaloc, Manila, Metro Manila"
ADB Avenue Tower,"Bagong Ilog, Pasig, Metro Manila"
ADRIATICO RESIDENCES,"Quiapo, Manila, Metro Manila"
ALPHA SALCEDO,"Bel-Air, Makati, Metro Manila"
AMA TOWER RESIDENCES,"Wack-Wack Greenhills, Mandaluyong, Metro Manila"
AMAIA SKIES AVENIDA,"Quiapo, Manila, Metro Manila"
AMAIA STEPS SUCAT,"Parañaque, Metro Manila"
ANUVA CONDO,"Alabang, Muntinlupa, Metro Manila"
ASIA Enclaves Alabang,"Alabang, Muntinlupa, Metro Manila"
AURORA GARDENS,"Addition Hills, Mandaluyong, Metro Manila"
Acacia Escalades,"Manggahan, Pasig, Metro Manila"
