project_name,location,full_address,latitude,longitude
Avida Towers Verte,"BGC, Taguig, Metro Manila","Avida Towers Verte, BGC, Taguig, Metro Manila, Philippines",14.5550311,121.0533973
Two Central,"Bel-Air, Makati, Metro Manila","Two Central, Bel-Air, Makati, Metro Manila, Philippines",14.559826,121.018519
Avida Towers Prime Taft,"Barangay 36, Pasay, Metro Manila","Avida Towers Prime Taft, Barangay 36, Pasay, Metro Manila, Philippines",14.5578415,120.9956082
Sage Residences,"Mauway, Mandaluyong, Metro Manila","Sage Residences, Mauway, Mandaluyong, Metro Manila, Philippines",14.5801782,121.0464631
Avida Towers Turf,"BGC, Taguig, Metro Manila","Avida Towers Turf, BGC, Taguig, Metro Manila, Philippines",14.5545864,121.0524779
The Trion Towers II,"BGC, Taguig, Metro Manila","The Trion Towers II, BGC, Taguig, Metro Manila, Philippines",14.5460967,121.0495991
Coastal Luxury Residences,"Tambo, Parañaque, Metro Manila","Coastal Luxury Residences, Tambo, Parañaque, Metro Manila, Philippines",14.5130258,120.9905459
Greenbelt Chancellor,"San Lorenzo, Makati, Metro Manila","Greenbelt Chancellor, San Lorenzo, Makati, Metro Manila, Philippines",14.5552203,121.0182343
Kizuna Heights,"Malate, Manila, Metro Manila","Kizuna Heights, Malate, Manila, Metro Manila, Philippines",14.5610945,120.9953403
Two Roxas Triangle,"Urdaneta, Makati, Metro Manila","Two Roxas Triangle, Urdaneta, Makati, Metro Manila, Philippines",14.5601858,121.0282213
Coast Residences,"Barangay 76, Pasay, Metro Manila","Coast Residences, Barangay 76, Pasay, Metro Manila, Philippines",14.5451838,120.9924823
The Velaris Residences,"Manggahan, Pasig, Metro Manila","The Velaris Residences, Manggahan, Pasig, Metro Manila, Philippines",14.5941953,121.0837818
Icon Residences,"BGC, Taguig, Metro Manila","Icon Residences, BGC, Taguig, Metro Manila, Philippines",14.5494583,121.0442258
Allegra Garden Place,"Bagong Ilog, Pasig, Metro Manila","Allegra Garden Place, Bagong Ilog, Pasig, Metro Manila, Philippines",14.5636026,121.0668704
Alder Residences,"San Miguel, Taguig, Metro Manila","Alder Residences, San Miguel, Taguig, Metro Manila, Philippines",14.5202896,121.0681864
The Crestmont,"South Triangle, Quezon City, Metro Manila","The Crestmont, South Triangle, Quezon City, Metro Manila, Philippines",14.6427295,121.0372656
Cameron Residences,"Mariblo, Quezon City, Metro Manila","Cameron Residences, Mariblo, Quezon City, Metro Manila, Philippines",14.6342726,121.016666
Belize Oasis,"Alabang, Muntinlupa, Metro Manila","Belize Oasis, Alabang, Muntinlupa, Metro Manila, Philippines",14.4224777,121.0464096
Shang Residences Wack Wack,"Addition Hills, Mandaluyong, Metro Manila","Shang Residences Wack Wack, Addition Hills, Mandaluyong, Metro Manila, Philippines",14.5935938,121.0430275
Valencia Hills,"Valencia, Quezon City, Metro Manila","Valencia Hills, Valencia, Quezon City, Metro Manila, Philippines",14.610942,121.0332502
Siena Tower,"Marikina, Metro Manila","Siena Tower, Marikina, Metro Manila, Philippines",14.6360301,121.1001739
The Capital Towers,"Kalusugan, Quezon City, Metro Manila","The Capital Towers, Kalusugan, Quezon City, Metro Manila, Philippines",14.6207176,121.0198439
The Residences at Greenbelt,"San Lorenzo, Makati, Metro Manila","The Residences at Greenbelt, San Lorenzo, Makati, Metro Manila, Philippines",14.5510509,121.0200829
The Residences at Bonifacio Civic Center,"BGC, Taguig, Metro Manila","The Residences at Bonifacio Civic Center, BGC, Taguig, Metro Manila, Philippines",14.5449268,121.0529074
110 Benavidez,"San Lorenzo, Makati, Metro Manila","110 Benavidez, San Lorenzo, Makati, Metro Manila, Philippines",14.5515001,121.017292
Southkey Place,"Alabang, Muntinlupa, Metro Manila","Southkey Place, Alabang, Muntinlupa, Metro Manila, Philippines",14.4250147,121.0408172
Woodsville Crest 3,"Merville, Parañaque, Metro Manila","Woodsville Crest 3, Merville, Parañaque, Metro Manila, Philippines",14.5002281,121.0380474
Regent Parkway,"BGC, Taguig, Metro Manila","Regent Parkway, BGC, Taguig, Metro Manila, Philippines",14.5442024,121.0463653
Pacific Plaza Tower,"BGC, Taguig, Metro Manila","Pacific Plaza Tower, BGC, Taguig, Metro Manila, Philippines",14.5473177,121.0449463
Arya Residences Tower 2,"BGC, Taguig, Metro Manila","Arya Residences Tower 2, BGC, Taguig, Metro Manila, Philippines",14.5462694,121.0486863
Arya Residences Tower 1,"BGC, Taguig, Metro Manila","Arya Residences Tower 1, BGC, Taguig, Metro Manila, Philippines",14.5462694,121.0486863
The Linear,"San Antonio, Makati, Metro Manila","The Linear, San Antonio, Makati, Metro Manila, Philippines",14.5600321,121.0102708
The Levels,"Alabang, Muntinlupa, Metro Manila","The Levels, Alabang, Muntinlupa, Metro Manila, Philippines",14.4200106,121.033259
Studio City,"Alabang, Muntinlupa, Metro Manila","Studio City, Alabang, Muntinlupa, Metro Manila, Philippines",14.4244279,121.0342185
One Sierra,"Highway Hills, Mandaluyong, Metro Manila","One Sierra, Highway Hills, Mandaluyong, Metro Manila, Philippines",14.5783864,121.0511259
The Hermosa,"Pulang Lupa Uno, Las Piñas, Metro Manila","The Hermosa, Pulang Lupa Uno, Las Piñas, Metro Manila, Philippines",14.4702033,120.9824634
Sands Residences,"Malate, Manila, Metro Manila","Sands Residences, Malate, Manila, Metro Manila, Philippines",14.5704594,120.982944
Mint Residences,"Urdaneta, Makati, Metro Manila","Mint Residences, Urdaneta, Makati, Metro Manila, Philippines",14.5557562,121.0292097
Pine Crest Towers,"Pasong Tamo, Quezon City, Metro Manila","Pine Crest Towers, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6732284,121.0450783
Torre Lorenzo Malate,"Malate, Manila, Metro Manila","Torre Lorenzo Malate, Malate, Manila, Metro Manila, Philippines",14.5739488,120.9876305
Torre Lorenzo Loyola,"Loyola Heights, Quezon City, Metro Manila","Torre Lorenzo Loyola, Loyola Heights, Quezon City, Metro Manila, Philippines",14.6365021,121.0736909
3Torre Lorenzo,"Malate, Manila, Metro Manila","3Torre Lorenzo, Malate, Manila, Metro Manila, Philippines",14.5638263,120.9979774
South 2 Residences,"Almanza Uno, Las Piñas, Metro Manila","South 2 Residences, Almanza Uno, Las Piñas, Metro Manila, Philippines",14.4344096,121.0092279
Acacia Escalades,"Manggahan, Pasig, Metro Manila","Acacia Escalades, Manggahan, Pasig, Metro Manila, Philippines",14.6052209,121.091448
The Radiance Manila Bay – North Tower,"Barangay 2, Pasay, Metro Manila","The Radiance Manila Bay – North Tower, Barangay 2, Pasay, Metro Manila, Philippines",14.5577652,120.9886078
