hospital,beds,category,street,city,sec,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER - QUEZON CITY, INC.",100,LEVEL 2,"NO. 20 SEMINARY ROAD, BAHAY TORO,
PROJECT 8",QUEZON CITY,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER - QUEZON CITY, INC., NO. 20 SEMINARY ROAD, BAHAY TORO,
PROJECT 8, QUEZON CITY",allied care experts (ace) medical center - quezon city inc. no. 20 seminary road bahay toro project 8 quezon city metro manila philippines,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER - QUEZON CITY, INC., NO. 20 SEMINARY ROAD, BAHAY TORO,
PROJECT 8, QUEZON CITY, Metro Manila, Philippines",,,,,
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,300,LEVEL 3,"SUMULONG HIWAY, BRGY. STO. NIÑO,",MARIKINA CITY,G,"AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER, SUMULONG HIWAY, BRGY. STO. NIÑO,, MARIKINA CITY",amang rodriguez memorial medical center sumulong hiway barangay. sto. nino marikina city metro manila philippines,"AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER, SUMULONG HIWAY, BRGY. STO. NIÑO,, MARIKINA CITY, Metro Manila, Philippines",,,,,
BERNARDINO GENERAL HOSPITAL I,80,LEVEL 2,"680 QUIRINO HIGHWAY, SAN
BARTOLOME, NOVALICHES,",QUEZON CITY,P,"BERNARDINO GENERAL HOSPITAL I, 680 QUIRINO HIGHWAY, SAN
BARTOLOME, NOVALICHES,, QUEZON CITY",bernardino general hospital i 680 quirino highway san bartolome novaliches quezon city metro manila philippines,"BERNARDINO GENERAL HOSPITAL I, 680 QUIRINO HIGHWAY, SAN
BARTOLOME, NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
BERNARDINO GENERAL HOSPITAL II,35,LEVEL 1,"B1 L2 NORTH OLYMPUS SUBD., ZABARTE ROAD, BRGY. KALIGAYAHAN,
NOVALICHES,",QUEZON CITY,P,"BERNARDINO GENERAL HOSPITAL II, B1 L2 NORTH OLYMPUS SUBD., ZABARTE ROAD, BRGY. KALIGAYAHAN,
NOVALICHES,, QUEZON CITY",bernardino general hospital ii b1 l2 north olympus subd. zabarte road barangay. kaligayahan novaliches quezon city metro manila philippines,"BERNARDINO GENERAL HOSPITAL II, B1 L2 NORTH OLYMPUS SUBD., ZABARTE ROAD, BRGY. KALIGAYAHAN,
NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
"CABARLES MATERNITY (LYING-IN), MEDICAL AND CHILDREN'S CLINIC",9,INF/DISP,"2 HEAVENLY DRIVE, CORNER SUSANO ROAD, SAN AGUSTIN, NOVALICHES",QUEZON CITY,P,"CABARLES MATERNITY (LYING-IN), MEDICAL AND CHILDREN'S CLINIC, 2 HEAVENLY DRIVE, CORNER SUSANO ROAD, SAN AGUSTIN, NOVALICHES, QUEZON CITY",cabarles maternity (lying-in) medical and children's clinic 2 heavenly drive corner susano road san agustin novaliches quezon city metro manila philippines,"CABARLES MATERNITY (LYING-IN), MEDICAL AND CHILDREN'S CLINIC, 2 HEAVENLY DRIVE, CORNER SUSANO ROAD, SAN AGUSTIN, NOVALICHES, QUEZON CITY, Metro Manila, Philippines",,,,,
"CAMP GENERAL EMILIO AGUINALDO STATION
HOSPITAL",25,INF/DISP,"CAMP GEN. EMILIO AGUINALDO,
MURPHY,",QUEZON CITY,G,"CAMP GENERAL EMILIO AGUINALDO STATION
HOSPITAL, CAMP GEN. EMILIO AGUINALDO,
MURPHY,, QUEZON CITY",camp general emilio aguinaldo station hospital camp gen. emilio aguinaldo murphy quezon city metro manila philippines,"CAMP GENERAL EMILIO AGUINALDO STATION
HOSPITAL, CAMP GEN. EMILIO AGUINALDO,
MURPHY,, QUEZON CITY, Metro Manila, Philippines",,,,,
"CAPITOL MEDICAL CENTER, INC.",200,LEVEL 3,"QUEZON AVE. COR. SCT. MAGBANUA, BRGY. PALIGSAHAN,",QUEZON CITY,P,"CAPITOL MEDICAL CENTER, INC., QUEZON AVE. COR. SCT. MAGBANUA, BRGY. PALIGSAHAN,, QUEZON CITY",capitol medical center inc. quezon avenue. cor. sct. magbanua barangay. paligsahan quezon city metro manila philippines,"CAPITOL MEDICAL CENTER, INC., QUEZON AVE. COR. SCT. MAGBANUA, BRGY. PALIGSAHAN,, QUEZON CITY, Metro Manila, Philippines",,,,,
CARDINAL SANTOS MEDICAL CENTER,297,LEVEL 3,"10 WILSON ST., GREENHILLS,",SAN JUAN,P,"CARDINAL SANTOS MEDICAL CENTER, 10 WILSON ST., GREENHILLS,, SAN JUAN",cardinal santos medical center 10 wilson street. greenhills san juan metro manila philippines,,14.5977862,121.0455347,google,"10 Wilson, Greenhills West, San Juan City, 1502 Metro Manila, Philippines",CLEANED|ROOFTOP
COMMONWEALTH HOSPITAL AND MEDICAL CENTER,148,LEVEL 2,"LOT 3 & 4, BLK 3, NEOPOLITAN BUSINESS PARK, BRGY. GREATER
LAGRO, NOVALICHES,",QUEZON CITY,P,"COMMONWEALTH HOSPITAL AND MEDICAL CENTER, LOT 3 & 4, BLK 3, NEOPOLITAN BUSINESS PARK, BRGY. GREATER
LAGRO, NOVALICHES,, QUEZON CITY",commonwealth hospital and medical center 3 & 4 3 neopolitan business park barangay. greater lagro novaliches quezon city metro manila philippines,"COMMONWEALTH HOSPITAL AND MEDICAL CENTER, LOT 3 & 4, BLK 3, NEOPOLITAN BUSINESS PARK, BRGY. GREATER
LAGRO, NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
"CRUZ-DALIDA  HOSPITAL, INC.",8,INF/DISP,"1025 F. SALVADOR AVE., JORDAN PLAINS SUBD., BRGY. STA. MONICA,
NOVALICHES,",QUEZON CITY,P,"CRUZ-DALIDA  HOSPITAL, INC., 1025 F. SALVADOR AVE., JORDAN PLAINS SUBD., BRGY. STA. MONICA,
NOVALICHES,, QUEZON CITY",cruz-dalida hospital inc. 1025 f. salvador avenue. jordan plains subd. barangay. sta. monica novaliches quezon city metro manila philippines,"CRUZ-DALIDA  HOSPITAL, INC., 1025 F. SALVADOR AVE., JORDAN PLAINS SUBD., BRGY. STA. MONICA,
NOVALICHES,, QUEZON CITY, Metro Manila, Philippines",,,,,
