REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY,FULL_ADDRESS,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
13 - Nat. Capital Region,Adamson University,Private,Metro Manila,City of Manila,"Adamson University, City of Manila",adamson university city of manila metro manila philippines,,14.5874779,120.9856156,google,"900 San Marcelino St, Ermita, Manila, 1000 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Air Link International Aviation College,Private,Metro Manila,City of Manila,"Air Link International Aviation College, City of Manila",air link international aviation college city of manila metro manila philippines,,14.5206283,121.0010559,google,"Domestic Rd, Pasay City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Alliance Graduate School,Private,Metro Manila,Quezon City,"Alliance Graduate School, Quezon City",alliance graduate school quezon city metro manila philippines,,14.6558774,121.0253717,google,"101 Dangay, Project 7, Quezon City, 1105 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,AMA Computer College-Makati,Private,Metro Manila,City of Makati,"AMA Computer College-Makati, City of Makati",ama computer college-makati city of makati metro manila philippines,,14.5501669,121.0659843,google,"5486 South Superhighway corner Hen. Tinio St., Bangkal, Makati City, Makati City, Metropolitan Manila Fourth District, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,AMA Computer University,Private,Metro Manila,Quezon City,"AMA Computer University, Quezon City",ama computer university quezon city metro manila philippines,"AMA Computer University, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Manila,Private,Metro Manila,City of Manila,"Arellano University-Manila, City of Manila",arellano university-manila city of manila metro manila philippines,"Arellano University-Manila, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Malabon,Private,Metro Manila,City of Malabon,"Arellano University-Malabon, City of Malabon",arellano university-malabon city of malabon metro manila philippines,"Arellano University-Malabon, City of Malabon, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Pasay,Private,Metro Manila,Pasay City,"Arellano University-Pasay, Pasay City",arellano university-pasay pasay city metro manila philippines,"Arellano University-Pasay, Pasay City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Pasig,Private,Metro Manila,City of Pasig,"Arellano University-Pasig, City of Pasig",arellano university-pasig city of pasig metro manila philippines,"Arellano University-Pasig, City of Pasig, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Asia Pacific College,Private,Metro Manila,City of Makati,"Asia Pacific College, City of Makati",asia pacific college city of makati metro manila philippines,,14.5311124,121.021315,google,"3 Humabon, Makati, 1232 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute for Distance Education,Private,Metro Manila,City of Makati,"Asian Institute for Distance Education, City of Makati",asian institute for distance education city of makati metro manila philippines,,14.554779,121.020651,google,"Unit 302 3rd Floor, Greenbelt Mansions, 106 Perea, Legazpi Village, Makati City, 1200 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Journalism and Communication,Private,Metro Manila,City of Manila,"Asian Institute of Journalism and Communication, City of Manila",asian institute of journalism and communication city of manila metro manila philippines,,14.616514,121.000759,google,"2244 España Blvd, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Management,Private,Metro Manila,City of Makati,"Asian Institute of Management, City of Makati",asian institute of management city of makati metro manila philippines,,14.552473,121.018728,google,"123 Paseo de Roxas, Legazpi Village, Makati City, 1229 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Maritime Studies,Private,Metro Manila,Pasay City,"Asian Institute of Maritime Studies, Pasay City",asian institute of maritime studies pasay city metro manila philippines,,14.5461269,120.9922325,google,"Roxas Boulevard, cor Antonio S. Arnaiz Ave, Pasay City, 1302 Metro Manila, Philippines",CLEANED|ROOFTOP
