hospital,beds,category,street,city,sec,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER - QUEZON CITY, INC.",100,LEVEL 2,"NO. 20 SEMINARY ROAD, BAHAY TORO,
PROJECT 8",QUEZON CITY,P,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER - QUEZON CITY, INC., QUEZON CITY, Metro Manila, Philippines",allied care experts (ace) medical center - quezon city inc. quezon city metro manila philippines,"ALLIED CARE EXPERTS (ACE) MEDICAL
CENTER - QUEZON CITY, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,300,LEVEL 3,"SUMULONG HIWAY, BRGY. STO. NIÑO,",MARIKINA,G,"AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER, MARIKINA, Metro Manila, Philippines",amang rodriguez memorial medical center marikina metro manila philippines,,14.6361206,121.0984332,google,"J3PX+C9V, Sumulong Hwy, Marikina, 1800 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
BERNARDINO GENERAL HOSPITAL I,80,LEVEL 2,"680 QUIRINO HIGHWAY, SAN
BARTOLOME, NOVALICHES,",QUEZON CITY,P,"BERNARDINO GENERAL HOSPITAL I, QUEZON CITY, Metro Manila, Philippines",bernardino general hospital i quezon city metro manila philippines,"BERNARDINO GENERAL HOSPITAL I, QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
BERNARDINO GENERAL HOSPITAL II,35,LEVEL 1,"B1 L2 NORTH OLYMPUS SUBD., ZABARTE ROAD, BRGY. KALIGAYAHAN,
NOVALICHES,",QUEZON CITY,P,"BERNARDINO GENERAL HOSPITAL II, QUEZON CITY, Metro Manila, Philippines",bernardino general hospital ii quezon city metro manila philippines,,14.740122,121.0467104,google,"North Olympus Subdivision, Zabarte Rd, Novaliches, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
"CABARLES MATERNITY (LYING-IN), MEDICAL AND CHILDREN'S CLINIC",9,INF/DISP,"2 HEAVENLY DRIVE, CORNER SUSANO ROAD, SAN AGUSTIN, NOVALICHES",QUEZON CITY,P,"CABARLES MATERNITY (LYING-IN), MEDICAL AND CHILDREN'S CLINIC, QUEZON CITY, Metro Manila, Philippines",cabarles maternity (lying-in) medical and children's clinic quezon city metro manila philippines,"CABARLES MATERNITY (LYING-IN), MEDICAL AND CHILDREN'S CLINIC, QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"CAMP GENERAL EMILIO AGUINALDO STATION
HOSPITAL",25,INF/DISP,"CAMP GEN. EMILIO AGUINALDO,
MURPHY,",QUEZON CITY,G,"CAMP GENERAL EMILIO AGUINALDO STATION
HOSPITAL, QUEZON CITY, Metro Manila, Philippines",camp general emilio aguinaldo station hospital quezon city metro manila philippines,"CAMP GENERAL EMILIO AGUINALDO STATION
HOSPITAL, QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
"CAPITOL MEDICAL CENTER, INC.",200,LEVEL 3,"QUEZON AVE. COR. SCT. MAGBANUA, BRGY. PALIGSAHAN,",QUEZON CITY,P,"CAPITOL MEDICAL CENTER, INC., QUEZON CITY, Metro Manila, Philippines",capitol medical center inc. quezon city metro manila philippines,,14.6342467,121.0228414,google,"Quezon Avenue, corner Scout Magbanua Street, Diliman, Quezon City, 1103 Metro Manila, Philippines",CLEANED|ROOFTOP
CARDINAL SANTOS MEDICAL CENTER,297,LEVEL 3,"10 WILSON ST., GREENHILLS,",SAN JUAN,P,"CARDINAL SANTOS MEDICAL CENTER, SAN JUAN, Metro Manila, Philippines",cardinal santos medical center san juan metro manila philippines,,14.5977862,121.0455347,google,"10 Wilson, Greenhills West, San Juan City, 1502 Metro Manila, Philippines",CLEANED|ROOFTOP
COMMONWEALTH HOSPITAL AND MEDICAL CENTER,148,LEVEL 2,"LOT 3 & 4, BLK 3, NEOPOLITAN BUSINESS PARK, BRGY. GREATER
LAGRO, NOVALICHES,",QUEZON CITY,P,"COMMONWEALTH HOSPITAL AND MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",commonwealth hospital and medical center quezon city metro manila philippines,,14.7315309,121.0608457,google,"Regalado Hwy, Novaliches, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
"CRUZ-DALIDA  HOSPITAL, INC.",8,INF/DISP,"1025 F. SALVADOR AVE., JORDAN PLAINS SUBD., BRGY. STA. MONICA,
NOVALICHES,",QUEZON CITY,P,"CRUZ-DALIDA  HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines",cruz-dalida hospital inc. quezon city metro manila philippines,,14.7233991,121.0439587,google,"Jordan Plaines Subdivision, 1025 F Salvador Ave, Novaliches, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
DE LOS SANTOS MEDICAL CENTER,150,LEVEL 3,"201 E. RODRIGUEZ SR. BLVD.,",QUEZON CITY,P,"DE LOS SANTOS MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",de los santos medical center quezon city metro manila philippines,,14.6201181,121.0174251,google,"201 E Rodriguez Sr. Ave, Quezon City, 1112 Metro Manila, Philippines",CLEANED|ROOFTOP
"DILIMAN DOCTORS HOSPITAL, INC.",130,LEVEL 2,"251 COMMONWEALTH AVENUE,
MATANDANG BALARA,",QUEZON CITY,P,"DILIMAN DOCTORS HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines",diliman doctors hospital inc. quezon city metro manila philippines,"DILIMAN DOCTORS HOSPITAL, INC., QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
DR. FE DEL MUNDO MEDICAL CENTER,25,LEVEL 2,"11 BANAWE ST., BRGY. DOÑA JOSEFA,",QUEZON CITY,P,"DR. FE DEL MUNDO MEDICAL CENTER, QUEZON CITY, Metro Manila, Philippines",dr. fe del mundo medical center quezon city metro manila philippines,,14.6204717,121.009294,google,"11 Banawe St, Quezon City, 1113 Metro Manila, Philippines",CLEANED|ROOFTOP
DR. JESUS C. DELGADO MEMORIAL HOSPITAL,65,LEVEL 2,"7 KAMUNING ROAD,",QUEZON CITY,P,"DR. JESUS C. DELGADO MEMORIAL HOSPITAL, QUEZON CITY, Metro Manila, Philippines",dr. jesus c. delgado memorial hospital quezon city metro manila philippines,,14.6278031,121.0347032,google,"7 Kamuning Rd, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
"DR. MONTANO G. RAMOS GENERAL
HOSPITAL CORPORATION",25,LEVEL 1,"46 BUKIDNON ST., BAGO BANTAY,",QUEZON CITY,P,"DR. MONTANO G. RAMOS GENERAL
HOSPITAL CORPORATION, QUEZON CITY, Metro Manila, Philippines",dr. montano g. ramos general hospital corporation quezon city metro manila philippines,"DR. MONTANO G. RAMOS GENERAL
HOSPITAL CORPORATION, QUEZON CITY, Metro Manila, Philippines, Metro Manila, Philippines",,,,,
