line,station,station_name,address,full_address,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
MRT-3,North Avenue,MRT-3 North Avenue Station,"North Avenue, Quezon City, Metro Manila","MRT-3 North Avenue Station, North Avenue, Quezon City, Metro Manila",mrt-3 north avenue station north avenue quezon city metro manila metro manila philippines,,14.65217,121.032333,google,"North Avenue, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
MRT-3,Quezon Avenue,MRT-3 Quezon Avenue (South Bound) Station,"1103 Epifanio de los Santos Ave, Diliman, Quezon City, 1105 Metro Manila","MRT-3 Quezon Avenue (South Bound) Station, 1103 Epifanio de los Santos Ave, Diliman, Quezon City, 1105 Metro Manila",mrt-3 quezon avenue (south bound) station 1103 epifanio de los santos avenue diliman quezon city 1105 metro manila metro manila philippines,,14.6427595,121.0385078,google,"Quezon Avenue, 1103 Epifanio de los Santos Ave, Diliman, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
MRT-3,GMA–Kamuning,MRT-3 Kamuning Station,"32 Samar Ave, Diliman, Quezon City, 1103 Metro Manila","MRT-3 Kamuning Station, 32 Samar Ave, Diliman, Quezon City, 1103 Metro Manila",mrt-3 kamuning station 32 samar avenue diliman quezon city 1103 metro manila metro manila philippines,,14.6352168,121.0433426,google,"GMA Kamuning Station, 32 Samar Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines",CLEANED|ROOFTOP
MRT-3,Araneta Center–Cubao,MRT-3 Araneta Center - Cubao Station,"Epifanio de los Santos Ave, Cubao, Quezon City, 1109 Metro Manila","MRT-3 Araneta Center - Cubao Station, Epifanio de los Santos Ave, Cubao, Quezon City, 1109 Metro Manila",mrt-3 araneta center - cubao station epifanio de los santos avenue cubao quezon city 1109 metro manila metro manila philippines,,14.6194878,121.0511312,google,"Araneta Center - Cubao Station, Epifanio de los Santos Ave, Cubao, Quezon City, 1109 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
MRT-3,Santolan–Annapolis,Santolan-annapolis,"Epifanio de los Santos Ave, San Juan City, 1502 Metro Manila","Santolan-annapolis, Epifanio de los Santos Ave, San Juan City, 1502 Metro Manila",santolan-annapolis epifanio de los santos avenue san juan city 1502 metro manila metro manila philippines,,14.607331,121.05643,google,"Santolan-annapolis, Abenida Epifanio de los Santos, San Juan City, 1502 Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
MRT-3,Ortigas,MRT-3 Ortigas Station,"Ortigas, Mandaluyong City, Metro Manila","MRT-3 Ortigas Station, Ortigas, Mandaluyong City, Metro Manila",mrt-3 ortigas station ortigas mandaluyong city metro manila metro manila philippines,,14.5879522,121.0566509,google,"Ortigas, Mandaluyong City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
MRT-3,Shaw Boulevard,MRT-3 Shaw Boulevard Station,"Shaw Boulevard, Mandaluyong City, Metro Manila","MRT-3 Shaw Boulevard Station, Shaw Boulevard, Mandaluyong City, Metro Manila",mrt-3 shaw boulevard station shaw boulevard mandaluyong city metro manila metro manila philippines,,14.5812058,121.0535974,google,"Shaw Boulevard, Mandaluyong City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
MRT-3,Guadalupe,MRT-3 Guadalupe Footbridge,"H29W+28J, Guijo, Makati, Kalakhang Maynila","MRT-3 Guadalupe Footbridge, H29W+28J, Guijo, Makati, Kalakhang Maynila",mrt-3 guadalupe footbridge h29w+28j guijo makati kalakhang maynila metro manila philippines,,14.5675986,121.0457655,google,"H29W+28J, Guijo, Makati, Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
MRT-3,Gil Puyat,Buendia MRT,"Makati City, Metro Manila","Buendia MRT, Makati City, Metro Manila",buendia mrt makati city metro manila metro manila philippines,,14.5544216,121.0343494,google,"Buendia station, Makati City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
MRT-3,Ayala,MRT-3 Ayala Avenue Station,"McKinley Rd, Makati City, Metro Manila","MRT-3 Ayala Avenue Station, McKinley Rd, Makati City, Metro Manila",mrt-3 ayala avenue station mckinley road makati city metro manila metro manila philippines,,14.5490343,121.0282509,google,"MRT-3 Ayala Avenue Station, McKinley Rd, Makati City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
