project_name,floor_area,bedrooms,bathrooms,condition,parking,price_per_sqm
The Calinea Tower,126.0,3,3,1,0,174603.17460317462
The Calinea Tower,86.0,3,2,1,0,151453.48837209304
The Calinea Tower,30.0,1,1,1,0,200233.33333333334
The Calinea Tower,70.0,2,1,1,0,156257.14285714287
The Calinea Tower,79.0,3,2,1,0,148101.2658227848
Zinnia Towers,86.0,3,2,1,0,162604.6511627907
The Calinea Tower,57.0,2,1,1,0,174245.61403508772
The Calinea Tower,57.0,1,1,1,0,173280.70175438595
The Calinea Tower,52.0,1,1,1,0,187384.61538461538
The Calinea Tower,42.0,1,1,2,0,173666.66666666666
The Calinea Tower,33.0,1,1,1,0,191181.81818181818
The Calinea Tower,52.0,1,1,1,0,187384.61538461538
The Calinea Tower,30.0,1,1,1,0,195166.66666666666
Elevé Homes Camarin,81.0,3,2,1,0,23641.975308641977
The Calinea Tower,52.0,2,1,1,0,174711.53846153847
Torre De Florencia,22.0,1,1,1,0,145454.54545454544
The Calinea Tower,83.0,3,2,1,0,145518.07228915664
The Calinea Tower,57.0,2,1,1,0,152631.57894736843
The Calinea Tower,97.0,3,2,1,0,148453.60824742267
The Calinea Tower,97.0,3,2,1,0,148453.60824742267
The Calinea Tower,52.0,1,1,1,0,185326.92307692306
The Calinea Tower,79.0,3,2,1,0,151924.05063291139
The Calinea Tower,97.0,3,2,1,0,122680.41237113402
The Calinea Tower,97.0,3,2,1,0,122680.41237113402
The Calinea Tower,57.0,2,1,1,0,151140.35087719298
The Calinea Tower,52.0,2,1,1,0,163730.76923076922
Aguada Residences,66.0,2,2,1,0,133240.0
Torre De Florencia,21.0,1,1,1,0,153285.7142857143
Torre De Florencia,36.0,1,1,1,0,151333.33333333334
The Calinea Tower,64.0,2,1,1,0,148953.125
The Calinea Tower,64.0,2,1,1,0,139578.125
The Calinea Tower,57.0,2,1,1,0,156719.29824561405
The Calinea Tower,57.0,1,1,1,0,172385.9649122807
The Calinea Tower,77.0,2,1,1,0,153324.67532467534
The Calinea Tower,86.0,3,2,1,0,147011.62790697673
The Calinea Tower,64.0,2,1,1,0,148953.125
Elevé Homes Camarin,23.0,1,1,3,0,83217.39130434782
