title,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
For Sale: Lincoln Tower 2BR (SMKT-PL-KM),,,118 sqm,118 sqm,"₱ 46,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,,Andrew Koa
ONE BEDROOM PROSCENIUM FOR SALE,Proscenium at Rockwell,Proscenium at Rockwell,65 sqm,65 sqm,"₱ 23,500,000","Guadalupe Viejo, Makati",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,M+ Properties
Rfo 2Br 38sqm Rent to Own Makati Condo FAST MOVE IN San Lorenzo Place in Chino Roces Megamall Magallanes MRT LRT Edsa NAIA Mckindley Pasay MOA BGC Ayala,San Lorenzo Place,San Lorenzo Place,38 sqm,6 sqm,"₱ 2,701,800","Bangkal, Makati",2 bedrooms,1 bathroom,16,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
"FOR SALE - Fully Furnished Corner Unit with City View in Eton Parkview Greenbelt, Legazpi Village, Makati City",,,,57 sqm,"₱ 9,500,000","Legazpi Village, Makati",1 bedroom,1 bathroom,,,Condo,For Sale,,,,,Luxe Realty
"1BR IN CENTURY SPIRE, MAKATI CITY, 56.04SQM",Century Spire Makati,Century Spire Makati,56 sqm,56 sqm,"₱ 13,200,000","San Miguel Village, Makati",1 bedroom,1 bathroom,41,Fully furnished,Condo,For Sale,2014,,Freehold,https://www.lamudi.com.ph/projects/41032-73-1054673bbd25-71d0-a0ccb52c-a25f-4b53,RE/MAX ONE
Makati Condo 1Br San Lorenzo Place Rfo Rent to Own in Makati Ayala Bgc Taguig Naia Pasay Ortigas Edsa Mrt Lrt,San Lorenzo Place,San Lorenzo Place,25 sqm,3 sqm,"₱ 2,301,400","Bangkal, Makati",1 bedroom,1 bathroom,12,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
2Br 38sqm Rfo 10% Downpayment Highrise Tower Makati Condo San Lorenzo Place in Makati Bgc Ayala NAIA Pasay MOA Taguig Ortigas Edsa Magallanes Chino Roces,San Lorenzo Place,San Lorenzo Place,38 sqm,5 sqm,"₱ 2,300,014","Bangkal, Makati",2 bedrooms,1 bathroom,18,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
1Br 26sqm Makati Condo Rent to Own Rfo San Lorenzo Place 10% Downpayment in Makati Ortigas Taguig Ayala Naia Mrt Lrt Pasay Moa Edsa Magallanes Pasig,San Lorenzo Place,San Lorenzo Place,26 sqm,3 sqm,"₱ 2,000,063","Bangkal, Makati",1 bedroom,1 bathroom,18,Unfurnished,Studio,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
"1BR IN CENTURY SPIRE, MAKATI CITY, 64.77SQM",Century Spire,Century Spire,64 sqm,64 sqm,"₱ 11,400,000","Makati, Metro Manila",1 bedroom,1 bathroom,41,Fully furnished,Condo,For Sale,2014,,Freehold,https://www.lamudi.com.ph/projects/century-spire/,RE/MAX ONE
2BR Unit For Sale - Tropical Palms Condominium,Tropical Palms,Tropical Palms,,142 sqm,"₱ 22,500,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,3,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/tropical-palms/,Veronica Ginez
2BR Unit For Sale - Elizabeth Place,Elizabeth Place,Elizabeth Place,,139 sqm,"₱ 18,500,000","Bel-Air, Makati",2 bedrooms,2 bathrooms,17,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/elizabeth-place/,Veronica Ginez
For Sale Oriental Garden Lotus Tower 2 Bedroom Fully Furnished Renovated 1 Parking,Oriental Garden,Oriental Garden,78 sqm,78 sqm,"₱ 13,000,000","Pio Del Pilar, Makati",2 bedrooms,2 bathrooms,11,Fully furnished,Condo,For Sale,,1,Freehold,https://www.lamudi.com.ph/projects/41032-73-7760ca15f8a7-3ad-665390e5-a86e-43c8,RE/MAX Resus - Levi
FULLY FURNISHED 3BR UNIT WITH BALCONY AND PARKING FOR SALE IN THE RESIDENCES AT GREENBELT,,,,165 sqm,"₱ 50,000,000","Legazpi Village, Makati",3 bedrooms,3 bathrooms,47,Fully furnished,Condo,For Sale,,2,,,HousingInteractive Inc.
FURNISHED 3BR UNIT WITH 2 PARKINGS FOR SALE IN THE RESIDENCES AT GREENBELT,,,,165 sqm,"₱ 50,000,000","Legazpi Village, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,2,,,HousingInteractive Inc.
"RUSH!!! newly condo unit in GENTRY RESIDENCES, MAKATI",,,,65 sqm,"₱ 18,000,000","Urdaneta, Makati",1 bedroom,1 bathroom,65,Unfurnished,Condo,For Sale,,1,Freehold,,Rosalinda Yasis
"1 Bedroom For Sale in Amorsolo West, Makati City",,,73 sqm,73 sqm,"₱ 25,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,2025,1,Freehold,,Erlyn Merino
"1 Bedroom For Sale in One Rockwell West Tower, Makati City",,,66 sqm,66 sqm,"₱ 21,500,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Partly furnished,Condo,For Sale,2010,1,Freehold,,Erlyn Merino
Residential Condominium in Makati City For Sale,,,,114 sqm,"₱ 18,000,000","Legazpi Village, Makati",,,,,Condo,For Sale,,,Freehold,,My Hometown Realty and Developer Inc. (DMGS)
"2 Bedroom For Sale in The Knightsbridge Residences, Makati City",,,60 sqm,60 sqm,"₱ 15,500,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,30,Partly furnished,Condo,For Sale,2014,1,Freehold,,Eva Marzan
"2 Bedroom For Sale in The Manansala, Makati City",,,106 sqm,106 sqm,"₱ 35,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,2005,1,Freehold,,Erlyn Merino
"1 Bedroom For Sale in The Manansala Tower, Makati City",,,106 sqm,106 sqm,"₱ 35,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,2005,1,Freehold,,Eva Marzan
"2 Bedroom For Sale in The Manansala, Makati City",,,106 sqm,106 sqm,"₱ 35,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,2005,1,Freehold,,Eva Marzan
"FOR SALE: 2-Bedroom Flat in The Proscenium At Rockwell, Makati",,,121 sqm,121 sqm,"₱ 49,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,,RE/MAX Capital
RFO Furnished 1BR with Balcony FOR SALE at BSA Suites Palanca St. Legazpi Village Makati,BSA Suites,BSA Suites,48 sqm,48 sqm,"₱ 7,800,000","Legazpi Village, Makati",1 bedroom,1 bathroom,19,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/bsa-suites/,Aurea Caampued
Clean Title RFO Furnished 1BR with Balcony & Parking FOR SALE at BSA Suites Palanca St. Legazpi Village Makati,BSA Suites,BSA Suites,44 sqm,44 sqm,"₱ 9,500,000","Legazpi Village, Makati",1 bedroom,1 bathroom,30,Partly furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/bsa-suites/,Aurea Caampued
𝟐𝐁𝐑 𝐔𝐧𝐢𝐭 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐚𝐭 𝐎𝐧𝐞 𝐋𝐞𝐠𝐚𝐳𝐩𝐢 𝐏𝐚𝐫𝐤 𝐢𝐧 𝐌𝐚𝐤𝐚𝐭𝐢 𝐂𝐢𝐭𝐲-𝐋𝐞𝐠𝐚𝐳𝐩𝐢 𝐕𝐢𝐥𝐥𝐚𝐠𝐞,,,97 sqm,97 sqm,"₱ 26,000,000","Legazpi Village, Makati",2 bedrooms,2 bathrooms,,Partly furnished,Condo,For Sale,,1,,,Jared Dimangondayao
𝟏𝐁𝐑 𝐔𝐧𝐢𝐭 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐚𝐭 𝐖𝐞𝐬𝐭𝐠𝐚𝐭𝐞 𝐏𝐥𝐚𝐳𝐚 𝐢𝐧 𝐌𝐚𝐤𝐚𝐭𝐢 𝐂𝐢𝐭𝐲-𝐒𝐚𝐥𝐜𝐞𝐝𝐨 𝐕𝐢𝐥𝐥𝐚𝐠𝐞,,,47 sqm,47 sqm,"₱ 7,000,000","Bel-Air, Makati",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,,,,Jared Dimangondayao
Makati Condo 1Br 26sqm Rfo Rent to Own San Lorenzo Place in Makati Edsa Ayala Bgc Taguig Mckindley Pasig Mrt Lrt,San Lorenzo Place,San Lorenzo Place,30 sqm,4 sqm,"₱ 2,001,110","Bangkal, Makati",1 bedroom,1 bathroom,16,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/san-lorenzo-place/,Jerald Yucot
1 Bedroom rent to own condo in Paseo De Roces makati chino roces makati city,Paseo De Roces,Paseo De Roces,37 sqm,37 sqm,Request Details,"Pio Del Pilar, Makati",1 bedroom,1 bathroom,,,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/paseo-de-roces/,Dream Property
1 Bedroom rent to own condo in Paseo De Roces makati chino roces makati city,,,37 sqm,37 sqm,Request Details,"Pio Del Pilar, Makati",1 bedroom,1 bathroom,,,Condo,Buy & Rent,,,,,Dream Property
"rent to own 1 bedroom condo for sale in chino roces makati city near greenbelt, ayala, rcbc plaza",Paseo De Roces,Paseo De Roces,37 sqm,37 sqm,Request Details,"Pio Del Pilar, Makati",1 bedroom,1 bathroom,,,Condo,Buy & Rent,,,,https://www.lamudi.com.ph/projects/paseo-de-roces/,Dream Property
"Rush Sale!: 2-Bedroom Unit in The Proscenium Residences, Rockwell Center, Makati City",,,,119 sqm,"₱ 50,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,2,,,Denise Manalo
FURNISHED 3BR UNIT WITH 2 PARKINGS FOR SALE IN GARDEN TOWERS,,,,218 sqm,"₱ 79,500,000","San Lorenzo, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,2,,,HousingInteractive Inc.
